"DeptCode","VoteNumberModified","VoteStatType","DescriptionE","DescriptionF","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"FIN","S",999,"Payment to the International Bank for Reconstruction and Development for the Agriculture Advance Market Commitment (Bretton Woods and Related Agreements Act, section 8)","Paiement à la Banque internationale pour la reconstruction et le développement pour les garanties de marché en matière d’agriculture (Loi sur les accords de Bretton Woods et des accords connexes, article 8)",10000000,0,0,0,0,0
"FIN","S",999,"Payments to International Development Association","Paiements à l'Association internationale pour le développement",441610000,0,441610000,441620000,0,441620000
"FIN","S",999,"Payments to Ontario related to the Canada Health Transfer (Part V.1- Federal-Provincial Fiscal Arrangements Act)","Paiement du transfert canadien en matière de santé à l'Ontario (Partie IV - Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",0,10052000,10052000,0,46855000,46855000
"FIN","S",999,"Payments to Provinces Regarding Sales Tax Harmonization (Part III.1 — Federal-Provincial Fiscal Arrangements Act)","Paiements aux provinces relatifs à l’harmonisation des taxes de vente (Partie III.1 — Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",1481000000,0,14000000,733000000,25000000,25000000
"FIN","S",999,"Purchase of Domestic Coinage","Achat de la monnaie canadienne",126500000,25330000,84611000,120000000,28997000,85262000
"FIN","S",999,"Statutory Subsidies (Constitution Acts, 1867-1982, and Other Statutory Authorities)","Subventions législatives (Lois constitutionnelles de 1867 à 1982, et autres autorisations législatives)",32149000,1237000,17312000,32149000,1100000,17312000
"FIN","S",999,"Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangement Act)","Financement des territoires (Partie I.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",3288282000,670809000,2617472000,3110680000,634578000,2476101000
"FIN","S",999,"Wait Times Reduction Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)","Transfert visant la réduction des temps d’attente (Partie V.1 – Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)",250000000,62500000,187500000,250000000,62500000,187500000
"FIN","S",999,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)","Recouvrement ayant trait aux allocations aux jeunes (Loi de 1964 sur la révision des arrangements fiscaux entre le gouvernement fédéral et les provinces)",-776742000,0,-388371000,-743232000,0,-371616000
"FJA",20,1,"Operating/Program","Fonctionnement/Programme",8518000,2058000,5963000,8212000,1913000,5715000
"FJA",25,1,"Operating/Program","Fonctionnement/Programme",1615000,326000,1063000,1579000,308000,985000
"FJA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",786000,196000,589000,982000,245000,736000
"FJA","S",999,"Judges salaries, allowances and annuities","Traitement, indemnités et pensions des juges",487534000,122751000,364590000,474685000,118618000,352657000
"FO",1,1,"Operating/Program","Fonctionnement/Programme",1241177000,304057000,854004000,1283110000,320220000,865768000
"FO",5,2,"Capital","Capital",439086000,62181000,149656000,400801000,83518000,166176000
"FO",10,3,"Grants & Contributions","Subventions et Contributions",88314000,12554000,36403000,88988000,13776000,37906000
"FO","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",129898000,32480000,97429000,132589000,33148000,99442000
"FO","S",999,"Minister of Fisheries and Oceans – Salary and motor car allowance","Ministre des Pêches et des Océans – Traitement et allocation pour automobile",79000,20000,59000,78000,21000,61000
"FO","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d’exercices antérieurs",0,1000,78000,0,0,33000
"FO","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépense des produits de la vente de biens excédentaires de l’État",0,145000,607000,0,479000,832000
"FORDQ",1,1,"Operating/Program","Fonctionnement/Programme",41993000,10180000,28250000,44560000,8872000,29000000
"FORDQ",5,3,"Grants & Contributions","Subventions et Contributions",260896000,49693000,93382000,261638000,44025000,94475000
"FORDQ","S",999,"Total Budgetary Statutory Authorities","Autorisations législatives bugétaires totales",5119000,1232000,3697000,5529000,1382000,4147000
"FTRAC",30,1,"Operating/Program","Fonctionnement/Programme",47705000,10583000,31357000,50723000,10426000,32145000
"FTRAC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",5659000,1415000,4244000,5698000,1424000,4273000
"GG",1,1,"Operating/Program","Fonctionnement/Programme",17443000,4682000,12861000,17953000,3971000,12706000
"GG","S",999,"Annuities payable under the Governor General's Act","Pensions payables en vertu de la Loi sur le gouverneur général",545000,136000,408000,520000,134000,400000
"GG","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",2106000,527000,1580000,2109000,528000,1582000
"GG","S",999,"Salary of the Governor General","Traitement du Gouverneur général",271000,68000,203000,138000,35000,103000
"GSC",1,1,"Operating/Program","Fonctionnement/Programme",2036736000,479101000,1511131000,2048751000,437952000,1419656000
"GSC",5,2,"Capital","Capital",707778000,147784000,390953000,518241000,137286000,319082000
"GSC",10,3,"Grants & Contributions","Subventions et Contributions",0,0,0,5497000,1028000,3323000
"GSC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",116947000,28684000,86054000,92626000,23156000,69469000
"GSC","S",999,"Minister of PWGSC Salary and motor car allowance","Ministre de TPSGC - Traitement et allocation pour automobile",79000,20000,59000,78000,19000,58000
"GSC","S",999,"Optional Services Revolving Fund","Fonds renouvelable des services optionnels",12484000,-1739000,1941000,6500000,-1546000,-2869000
"GSC","S",999,"Payment in lieu of taxes to municipalities and other taxing authorities","Paiement en remplacement d'impôts fonciers versées aux municipalités et à d'autres autorités taxatrices",0,-16890000,43126000,0,-17303000,35301000
"GSC","S",999,"Real Property Disposition Revolving Fund","Fonds renouvelable d'aliénation des biens immobiliers",0,0,0,-4707000,-2366000,-8929000
"GSC","S",999,"Real Property Services Revolving Fund","Fonds renouvelable d'aliénation des biens immobiliers",10000000,2414000,48375000,13094000,15635000,44464000
"GSC","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",73000,71000,73000,91000,45000,91000
"GSC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",529000,26000,56000,535000,116000,167000
"GSC","S",999,"Translation Bureau Revolving Fund","Fonds renouvelable du Bureau de la traduction",7022000,-5465000,4515000,7555000,6296000,5794000
"H",1,1,"Operating/Program","Fonctionnement/Programme",1980500000,454439000,1292808000,2078419000,474391000,1330543000
"H",5,2,"Capital","Capital",26177000,6076000,9199000,30778000,3908000,7608000
"H",10,3,"Grants & Contributions","Subventions et Contributions",1625791000,393530000,1327117000,1484614000,354593000,1099137000
"H","S",999,"Canada Health Infoway Inc.","Inforoute Santé du Canada Inc.",88548000,0,88548000,89361000,0,89361000
"H","S",999,"Collection agency fees","Droits des agences de recouvrement",11000,9000,11000,5000,1000,5000
"H","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",127916000,31665000,94994000,134948000,33737000,101211000
"H","S",999,"Court Awards","Montants adjugés par une cour",,,,10000,0,10000
"H","S",999,"Minister of Health - Salary and motor car allowance","Ministre de la Santé - Traitement et allocation pour automobile",79000,20000,59000,78000,19000,58000
"H","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",879000,244000,879000,120000,76000,120000
"H","S",999,"Spending of Revenues pursuant to section 4.2 of the Department of Health Act","Dépenses des recettes conformément au paragraphe 4.2 de la Loi sur le ministère de la Santé",58860000,21593000,21593000,,,
"H","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",676000,55000,118000,421000,35000,89000
"HRSD",1,1,"Operating/Program","Fonctionnement/Programme",681791000,87148000,354735000,675627000,66284000,282520000
"HRSD",5,3,"Grants & Contributions","Subventions et Contributions",1821358000,542119000,1325097000,1853746000,423848000,1354235000
"HRSD","S",999,"Allowance Payments (Old Age Security Act)","Versements d'allocations (Loi sur la sécurité de la vieillesse)",546850000,131848000,389984000,563030000,138767000,412728000
"HRSD","S",999,"Canada Disability Savings Bond payments to Registered Disability Savings Plan (RDSP) issuers on behalf of RDSP beneficiaries to encourage long-term financial security of eligible individuals with disabilities","Paiements de Bons canadiens pour l'épargne-invalidité aux émetteurs de régimes enregistrés d'épargne-invalidité (REEI) au nom des bénéficiaires du REEI afin d'encourager la sécurité financière à long terme des personnes handicapées admissibles",76900000,9965000,29584000,51600000,6980000,25702000
"HRSD","S",999,"Canada Disability Savings Grant payments to Registered Disability Savings Plan (RDSP) issuers on behalf of RDSP beneficiaries to encourage long-term financial security of eligible individuals with disabilities","Paiements de Subventions canadiennes pour l'épargne-invalidité aux émetteurs de régimes enregistrés d'épargne-invalidité (REEI) au nom des bénéficiaires du REEI afin d'encourager la sécurité financière à long terme des personnes handicapées admissibles",222600000,37740000,113896000,63800000,30446000,98369000
"HRSD","S",999,"Canada Education Savings grant payments to Registered Education Savings Plan (RESP) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children","Paiements de Subventions canadiennes pour l'épargne-études aux fiduciaires de régimes enregistrés d'épargne-études (REEE) au nom des bénéficiaires des REEE afin d'encourager les Canadiens à épargner pour les études postsecondaires de leurs enfants",754000000,164031000,488576000,730000000,153901000,455942000
"HRSD","S",999,"Canada Learning Bond payments to Registered Education Savings Plan (RESP) trustees on behalf of RESP beneficiaries to support access to post-secondary education for children from low-income families","Paiements de Bons d'études canadiens aux fiduciaires de régimes enregistrés d'épargne-études (REEE) au nom des bénéficiaires des REEE afin d'appuyer l'accès à l'éducation postsecondaire des enfants de familles à faible revenu",128000000,21035000,85704000,91000000,16184000,78696000
"HRSD","S",999,"Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act","Bourses canadiennes aux fins d'études destinées aux étudiants à temps plein et à temps partiel admissibles aux termes de la Loi fédérale sur l'aide financière aux étudiants",645325000,86492000,365111000,591274000,54548000,346081000
"HRSD","S",999,"Civil Service Insurance actuarial liability adjustments","Redressements du passif actuariel de l'assurance de la fonction publique",145000,0,0,145000,0,0
"HRSD","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",268776000,56148000,168444000,243910000,60978000,182933000
"HRSD","S",999,"Energy Cost Benefit","Prestation liée au coût de l'énergie",-2000,-2000,-2000,-1000,0,-1000
"HRSD","S",999,"Guaranteed Income Supplement Payments (Old Age Security Act)","Versements du Supplément de revenu garanti (Loi sur la sécurité de la vieillesse)",9735348000,2372687000,6954599000,9003580000,2321093000,6752569000
"HRSD","S",999,"Minister of Employment and Social Development—Salary and motor car allowance","Ministre d'Emploi et Développement social Canada—Traitement et allocation pour automobile",79000,2000,59000,78000,8000,58000
"HRSD","S",999,"Minister of Labour—Salary and motor car allowance","Ministre du Travail—Traitement et allocation pour automobile",79000,33000,59000,78000,26000,58000
"HRSD","S",999,"Minister of State (Seniors)—Motor car allowance","Ministre d'État (Aînés)—Allocation pour automobile",2000,1000,2000,2000,1000,2000
"HRSD","S",999,"Minister of State (Social Development) - Motor car allowance","Ministre d'État (Développement social) - Allocation pour automobile",2000,1000,1000,0,0,0
"HRSD","S",999,"Old Age Security Payments (Old Age Security Act)","Versements de la Sécurité de la vieillesse (Loi sur la sécurité de la vieillesse)",32351574000,8390865000,24818789000,30574304000,8017271000,23730198000
"HRSD","S",999,"Pathways to Education Canada upfront multi-year funding to support their community-based early intervention programs which will help disadvantaged youth access post-secondary education in Canada","Financement pluriannuel initial à Passeport pour ma réussite Canada afin d'appuyer ses programmes d'intervention précoce communautaires qui aideront les jeunes défavorisés à accéder aux études postsecondaires au Canada",6000000,6000000,6000000,6000000,0,6000000
"HRSD","S",999,"Payment to the Canadian National Institute for the Blind for a national digital hub to improve library services for persons with a print disability","Paiements à l'Institut national canadien pour les aveugles afin d'améliorer les services de bibliothèque pour les personnes ayant une déficience de lecture des imprimés",3000000,0,0,0,0,0
"HRSD","S",999,"Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act)","Paiements d'indemnités à des agents de l'État (Loi sur l'indemnisation des agents de l'État) et à des marins marchands (Loi sur l'indemnisation des marins marchands)",40000000,14913000,37664000,42000000,-5735000,57433000
"HRSD","S",999,"Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act","Paiements liés aux modalités de financement direct accordés en vertu de la Loi fédérale sur l'aide financière aux étudiants",566746000,53479000,151148000,509079000,41506000,125486000
"HRSD","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",301000,196000,301000,2000,0,2000
"HRSD","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",172000,2000,2000,219000,12000,24000
"HRSD","S",999,"Spending pursuant to section 12(4) of the Canada Education Saving Act","Dépenses en vertu du paragraphe 12(4) de la Loi canadienne sur l'épargne-études",914000,409000,914000,435000,163000,388000
"HRSD","S",999,"Supplementary Retirement Benefits—Annuities agents' pensions","Prestations de retraite supplémentaires—Pensions pour les agents des rentes sur l'État",35000,1000,3000,35000,1000,3000
"HRSD","S",999,"The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act","Paiements d'intérêts et autres obligations aux institutions de crédit en vertu de la Loi fédérale sur l'aide financière aux étudiants",10628000,4031000,6203000,11330000,1242000,6582000
"HRSD","S",999,"The provision of funds for interest payments to lending institutions under the Canada Student Loans Act","Paiements d'intérêts aux institutions de crédit en vertu de la Loi fédérale sur les prêts aux étudiants",2000,2000,3000,4000,2000,7000
"HRSD","S",999,"The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act","Paiements relatifs aux obligations contractées sous forme de prêts garantis en vertu de la Loi fédérale sur les prêts aux étudiants",-9497000,-1201000,-4793000,-13139000,-6509000,-5603000
"HRSD","S",999,"Universal Child Care Benefit (Universal Child Care Benefit Act)","Prestation universelle pour la garde d'enfants (Loi sur la prestation universelle pour la garde d'enfants)",2788000000,683887000,2051019000,2747000000,678214000,2029026000
"HRSD","S",999,"Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the nece","Paiements en vertu du Programme de protection des salariés aux personnes admissibles pour les salaires et les indemnités de vacances, les indemnités de départ et les indemnités de cessation d'emploi qui sont dus par les employeurs en faillite ou mis sous",49250000,9052000,21748000,54200000,7347000,20147000
"INAC",1,1,"Operating/Program","Fonctionnement/Programme",1548475000,385156000,893162000,1464755000,354929000,835401000
"INAC",5,2,"Capital","Capital",19166000,1437000,2886000,22973000,5948000,6763000
"INAC",10,3,"Grants & Contributions","Subventions et Contributions",6989503000,1699524000,4535880000,6785068000,1707855000,4571199000
"INAC","S",999,"Contributions to Indspire (Budget 2013)","Contributions à Indspire (Budget fédérale de 2013)",5000000,3994000,3994000,0,0,0
"INAC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",71426000,17576000,52728000,65049000,16262000,48787000
"INAC","S",999,"Grant to the Nunatsiavut Government for the implementation of the Labrador Inuit Land Claims Agreement pursuant to the Labrador Inuit Land Claims Agreement Act","Subvention au gouvernement du Nunatsiavut pour la mise en oeuvre de l'Accord sur les revendications territoriales des Inuits du Labrador en vertu de la Loi sur l'Accord sur les revendications territoriales des Inuits du Labrador",8994000,18358000,18358000,17987000,27343000,27343000
"INAC","S",999,"Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Claim Settlement Acts","Subventions aux organismes autochtones identifiés pour recevoir des paiements à l'égard des revendications en vertu des lois sur le règlement des revendications territoriales globales",73762000,4055000,55801000,75576000,4055000,57624000
"INAC","S",999,"Grassy Narrows and Islington Bands Mercury Disability Board","Comité chargé des cas d'invalidité dus au mercure dans les bandes indiennes de Grassy Narrows et d'Islington",15000,0,0,15000,0,0
"INAC","S",999,"Indian Annuities Treaty payments","Rentes versées aux Indiens – Paiements en vertu de traités",1400000,-113000,1670000,1400000,37000,1874000
"INAC","S",999,"Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development","Obligations relatives aux garanties de prêts accordés aux Indiens pour le logement et le développement économique",2000000,0,0,2000000,0,6000
"INAC","S",999,"Minister of Aboriginal Affairs and Northern Development – Salary and motor car allowance","Ministre des Affaires autochtones et du développement du Nord canadien – Traitement et allocation pour automobile",79000,25000,61000,78000,20000,58000
"INAC","S",999,"Other","Autres",0,85000,2040000,0,3797000,5143000
"INAC","S",999,"Payments to comprehensive claim beneficiaries in compensation for resource royalties","Paiements d'indemnités aux bénéficiaires des revendications territoriales globales pour des redevances sur les ressources",2606000,792000,1466000,2591000,68000,3444000
"IPC",40,1,"Operating/Program","Fonctionnement/Programme",13171000,2938000,7637000,11284000,2692000,7569000
"IPC",45,1,"Operating/Program","Fonctionnement/Programme",26628000,5500000,15521000,22131000,5031000,15004000
"IPC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",1359000,340000,1019000,1434000,340000,1019000
"IPC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",2471000,618000,1854000,2474000,619000,1856000
"IRB",10,1,"Operating/Program","Fonctionnement/Programme",114954000,25450000,77654000,129685000,29044000,79839000
"IRB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",14493000,3623000,9661000,16467000,4117000,12350000
"IRB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",1000,0,1000,2000,1000,2000
"ISC",1,1,"Operating/Program","Fonctionnement/Programme",353640000,77588000,253869000,424542000,81827000,284677000
"ISC",5,2,"Capital","Capital",27486000,6601000,13901000,16400000,3810000,7482000
"ISC",10,3,"Grants & Contributions","Subventions et Contributions",706443000,117369000,381782000,794947000,96784000,468553000
"ISC","S",999,"Canadian Youth Business Foundation","Fondation canadienne des jeunes entrepreneurs",9000000,9000000,9000000,10000000,0,10000000
"ISC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",53656000,13405000,40214000,54081000,13520000,40561000
"ISC","S",999,"Genome Canada","Génome Canada",57100000,0,35400000,74600000,0,58100000
"ISC","S",999,"Knowledge Infrastructure Program","Programme d'infrastructure du savoir",0,0,0,52460000,0,23887000
"ISC","S",999,"Liabilities under theCanada Small Business Financing Act & theSmall Business Loans Act","Obligations contractées en vertu de la Loi sur le financement des petites entreprises du Canada et la Loi sur les prêts aux petites entreprises",86386000,11198000,32535000,103467000,11519000,34613000
"ISC","S",999,"Minister's Salary and Motor Car Allowan","Traitement et allocation pour automobile du ministre",83000,21000,62000,82000,20000,61000
"ISC","S",999,"Other statutory grants and contributions","Autres subventions et contributions",0,0,8000,0,31000,1459000
"ISC","S",999,"Proceeds for Crown Asset Disposals","Dépenses des produits de la vente de biens excédentaires de l'État",420000,40000,40000,415000,46000,75000
"ISC","S",999,"Refunds of Previous Years Revenue","Remboursements de montants portés aux revenus d'exercices antérieurs",0,81000,312000,0,69000,285000
"ISC","S",999,"Revolving Fund","Fonds renouvelable",17604000,-386000,7109000,10862000,-2542000,-1628000
"JUS",1,1,"Operating/Program","Fonctionnement/Programme",327044000,72304000,256082000,284954000,-14045000,191658000
"JUS",5,3,"Grants & Contributions","Subventions et Contributions",351435000,66943000,92446000,390429000,23067000,42983000
"JUS","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",79924000,19945000,59833000,80089000,20022000,60067000
"JUS","S",999,"Minister of Justice and Attorney General of Canada - Salary and motor car allowance","Ministre de Justice et procureur général du Canada - Traitement et allocation pour automobile",79000,19000,59000,78000,19000,58000
"JUS","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenues d'exercices antérieurs",0,5000,29000,0,8000,113000
"JUS","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",3000,0,0,3000,0,0
"LAC",55,1,"Operating/Program","Fonctionnement/Programme",90082056,20075426,54622773,92198847,21021381,60287847
"LAC",60,2,"Capital","Capital",3943615,369858,414903,19352500,5536915,13735475
"LAC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",10177677,2545900,7633258,11275573,2818893,8456680
"LAC","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",229274,0,0,308582,0,0
"MPCC",25,1,"Operating/Program","Fonctionnement/Programme",9936000,1289000,3491000,8507000,1216000,3993000
"MPCC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",345000,83000,259000,302000,76000,227000
"NBC",70,1,"Operating/Program","Fonctionnement/Programme",7488000,972000,4955000,7504000,1247000,5032000
"NBC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",371000,93000,278000,398000,100000,298000
"NBC","S",999,"Expenditures pursuant to subsection 29.1(1) of the Financial Administration Act","Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques",1847000,403000,1464000,1763000,392000,1263000
"ND",1,1,"Operating/Program","Fonctionnement/Programme",14118250000,3393534000,10095925000,14493092000,3614772000,10003473000
"ND",5,2,"Capital","Capital",3563928000,821529000,1804567000,3970767000,841152000,1887689000
"ND",10,3,"Grants & Contributions","Subventions et Contributions",184691000,73054000,91265000,265368000,77703000,101372000
"ND","S",999,"Collection Agency Fees under Section 17.1 of the FAA","Droits des agences de recouvrement en vertu de l’article 17.1 de la LGFP",2000,0,2000,3000,1000,3000
"ND","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",310174000,77524000,232420000,306931000,76733000,230198000
"ND","S",999,"Contributions to employee benefit plans - Members of the Military","Contributions aux régimes d’avantages sociaux des employés – Membres militaires",1025910000,260169000,769331000,1057036000,267947000,770179000
"ND","S",999,"Minister and Associate Minister of National Defence - Salary and Motor Car Allowance","Ministre et Ministre associé de la Défense nationale – Traitement et allocation pour automobile",158000,20000,85000,155000,0,78000
"ND","S",999,"Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under the British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)","Versements aux ayants droit de certains membres de l’Aviation royale du Canada tués dans l’exercice de leurs fonctions alors qu’ils servaient à titre d’instructeurs dans le cadre du Plan d’entraînement des aviateurs du Commonwealth britannique (Loi nº4 de",24000,6000,18000,47000,6000,17000
"ND","S",999,"Payments under Parts I-IV of the Defence Services Pension Continuation Act (R.S.C., 1970, c. D-3 )","Versements en vertu des parties I à IV de la Loi sur la continuation de la pension des services de défense (L.R.C. (1970), ch. D-3)",930000,148000,465000,930000,175000,546000
"ND","S",999,"Payments under the Supplementary Retirement Benefits Act","Versement en vertu de la Loi sur les prestations de retraite supplémentaires",4493000,736000,2300000,4493000,812000,2621000
"ND","S",999,"Spending of Amounts Equivalent to Proceeds from Disposal of Surplus Moveable Crown Assets","Dépenses des produits de l’aliénation des biens meubles en surplus de la Couronne",19395000,3306000,9001000,51541000,6424000,12043000
"NEB",25,1,"Operating/Program","Fonctionnement/Programme",74026000,15160000,46189000,66459000,15175000,42589000
"NEB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",7195000,1799000,5396000,6520000,1624000,4871000
"NFB",75,1,"Operating/Program","Fonctionnement/Programme",68752596,14580848,45770050,69641560,15838039,47319717
"NPA",30,1,"Operating/Program","Fonctionnement/Programme",3003000,214457,721358,3163150,-71480,587324
"NPA","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",120930,30233,90698,122320,30580,91740
"NPB",35,1,"Operating/Program","Fonctionnement/Programme",44635000,10150000,31277000,48567000,10007000,28136000
"NPB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",6241000,1560000,4680000,5938000,1485000,4454000
"NR",1,1,"Operating/Program","Fonctionnement/Programme",869623000,179162000,538069000,845878000,169692000,485811000
"NR",5,2,"Capital","Capital",28795000,4579000,10858000,31357000,6871000,11406000
"NR",10,3,"Grants & Contributions","Subventions et Contributions",608828000,93131000,196771000,742019000,79673000,196026000
"NR","S",999,"Canada Foundation for Sustainable Development Technology Grant","Subvention accordée à la Fondation du Canada pour l’appui technologique au développement durable",0,0,0,59338000,0,0
"NR","S",999,"Collection agency fees under sec 17.1 of the Financial Administration Act","Honoraires des agences de recouvrement aux termes de l’article 17,1 de la Loi sur la gestion des finances publiques",0,4000,5000,0,0,19000
"NR","S",999,"Contribution to the Canada/Newfoundland Offshore Petroleum Board","Contribution accordée à l’Office Canada-Terre-Neuve des hydrocarbures extracôtiers",7756000,-1030000,2796000,7756000,441000,4259000
"NR","S",999,"Contribution to the Canada/Nova Scotia Offshore Petroleum Board","Contribution à l’Office Canada/ Nouvelle-Écosse des hydrocarbures extracôtiers",3550000,111000,1987000,3450000,889000,2663000
"NR","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",60181000,14926000,44780000,59716000,14929000,44787000
"NR","S",999,"Crown Share Adjustment Payments for Nova Scotia Offshore Petroleum Resources","Paiements de rajustement à l’égard de la part de la Couronne pour les ressources pétrolières extracôtières de la Nouvelle-Écosse",22460000,,12856000,,,57775000
"NR","S",999,"Minister of Natural Resources - Salary and motor car allowance","Ministre des Ressources naturelles – Traitement et allocation pour automobile",79000,19000,59000,78000,18000,58000
"NR","S",999,"Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund","Paiements au Fonds terre-neuvien des recettes provenant des ressources en hydrocarbures extracôtières",1142062000,167592000,375601000,987902000,30150000,309288000
"NR","S",999,"Payments to the Nova Scotia Offshore Revenue Account","Paiements au Compte des recettes extracôtières de la Nouvelle-Écosse",79339000,3392000,14227000,135846000,10327000,42665000
"NR","S",999,"Spending of amounts equivalent to proceeds from disposal of surplus crown assets","Dépenses des produits de l’aliénation des biens en surplus de la Couronne",0,0,28000,0,6000,8000
"NRC",60,1,"Operating/Program","Fonctionnement/Programme",377684000,96464000,286644000,404647000,76422000,276882000
"NRC",65,2,"Capital","Capital",31299000,9891000,18630000,42089000,7655000,15371000
"NRC",70,3,"Grants & Contributions","Subventions et Contributions",291482000,72589000,179676000,259566000,51440000,109854000
"NRC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",47106000,10060000,30179000,40514000,10128000,30385000
"NRC","S",999,"Revenue","Revenus",284539000,10011000,32608000,228367000,20674000,40132000
"NSERC",75,1,"Operating/Program","Fonctionnement/Programme",44761000,10388000,29587000,49815000,10463000,32493000
"NSERC",80,3,"Grants & Contributions","Subventions et Contributions",1015686000,282100000,785611000,1023738000,278187000,779112000
"NSERC","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",5176000,1280000,3840000,5338000,1332000,3998000
"OAG",20,1,"Operating/Program","Fonctionnement/Programme",78140000,17001000,51886000,80790000,18166000,53709000
"OAG","S",999,"Budgetary statutory authorities","Autorisations législatives budgétaires",10233000,2558000,7674000,10331000,2582000,7748000
"OCI",40,1,"Operating/Program","Fonctionnement/Programme",4320140,947120,2785307,4179922,1115148,2804562
"OCI","S",999,"Budgetary statutory authorities","Autorisations législatives budgétaires",566948,141737,425211,570098,142524,427573
"OCOL",20,1,"Operating/Program","Fonctionnement/Programme",22758000,4717000,13955000,19348000,4777000,12994000
"OCOL","S",999,"Budgetary statutory authorities","Autorisations législatives budgétaires",2250000,563000,1688000,2250000,563000,1688000
