"Deptcode","Department Name English - Public Accounts","Department Name Fench - Public Accounts","Applied Title (English)","Applied Title (French)","Legal Title (English)","Legal Title (French)","Ministerial Portfolio (English)","Ministerial Portfolio (French)","Appropriate Minister 1 - Name (English)","Appropriate Minister 1 - Title (English)","Appropriate Minister 2 - Name (English)","Appropriate Minister 2 - Title (English)","Appropriate Minister 3 - Name (English)","Appropriate Minister 3 - Title (English)","Appropriate Minister 1 - Name (French)","Appropriate Minister 1 - Title (French)","Appropriate Minister 2 - Name (French)","Appropriate Minister 2 - Title (French)","Appropriate Minister 3 - Name (French)","Appropriate Minister 3 - Title (French)","Institutional Head (English)","Institutional Head (French)","Mandate (English) [HTML]","Mandate (French) [HTML]","Institutional Form (English)","Institutional Form (French)","Enabling Instrument (English) [HTML]","Enabling Instrument (French) [HTML]","Website (English)","Website (French)"
,,,"First Nations Financial Management Board","NULL","First Nations Financial Management Board","Conseil de gestion financière des premières nations","Aboriginal Affairs and Northern Development","Affaires autochtones et du développement du Nord canadien","Duncan, John (Hon.)","Minister of Aboriginal Affairs and Northern Development","NULL","NULL","NULL","NULL","Duncan, John (L'hon.)","ministre des Affaires autochtones et du développement du Nord canadien","NULL","NULL","NULL","NULL","Harold Calla, Chair","Harold Calla, président","<p>The purposes of the Board are to</p> <p>&#160;(<em>a</em>)&#160;assist First Nations in developing the capacity to meet their financial management requirements;</p> <p>(<em>b</em>)&#160;assist First Nations in their dealings with other governments respecting financial management, including matters of accountability and shared fiscal responsibility;</p> <p>(<em>c</em>)&#160;assist First Nations in the development, implementation and improvement of financial relationships with financial institutions, business partners and other governments, to enable the economic and social development of First Nations;</p> <p>(<em>d</em>)&#160;develop and support the application of general credit rating criteria to First Nations;</p> <p>(<em>e</em>)&#160;provide review and audit services respecting First Nation financial management;</p> <p>(<em>f</em>)&#160;provide assessment and certification services respecting First Nation financial management and financial performance;</p> <p>(<em>g</em>)&#160;provide financial monitoring services respecting First Nation financial management and financial performance;</p> <p>(<em>h</em>)&#160;provide co-management and third-party management services; and</p> <p>(<em>i</em>)&#160;provide advice, policy research and review and evaluative services on the development of fiscal arrangements between First Nations&#8217; governments and other governments.</p>","<p>Le Conseil a pour mission&#160;:</p> <p><em>a</em>)&#160;d&#8217;aider les Premi&#232;res Nations &#224; d&#233;velopper la capacit&#233; n&#233;cessaire au respect de leurs engagements en mati&#232;re de gestion financi&#232;re;</p> <p><em>b</em>)&#160;d&#8217;aider les Premi&#232;res Nations &#224; traiter avec les autres autorit&#233;s administratives en mati&#232;re de gestion financi&#232;re, notamment dans les domaines de la reddition de comptes et de la responsabilit&#233; fiscale partag&#233;e;</p> <p><em>c</em>)&#160;d&#8217;aider les Premi&#232;res Nations &#224; d&#233;velopper, mettre en &#339;uvre et am&#233;liorer les liens financiers avec les institutions financi&#232;res, les &#233;ventuels associ&#233;s et les autorit&#233;s administratives pour assurer le d&#233;veloppement &#233;conomique et social des Premi&#232;res Nations;</p> <p><em>d</em>)&#160;de mettre au point et d&#8217;appuyer l&#8217;application de crit&#232;res g&#233;n&#233;raux &#224; l&#8217;&#233;gard de l&#8217;&#233;tablissement de cotes de cr&#233;dit pour les Premi&#232;res Nations;</p> <p><em>e</em>)&#160;de fournir des services d&#8217;examen et de v&#233;rification en mati&#232;re de gestion financi&#232;re des Premi&#232;res Nations;</p> <p><em>f</em>)&#160;de fournir des services d&#8217;&#233;valuation et de certification en mati&#232;re de gestion et de rendement financiers des Premi&#232;res Nations;</p> <p><em>g</em>)&#160;de fournir des services de surveillance en mati&#232;re de gestion et de rendement financiers des Premi&#232;res Nations;</p> <p><em>h</em>)&#160;de fournir des services de cogestion et de gestion des recettes locales;</p> <p><em>i</em>)&#160;de fournir des services de recherche en mati&#232;re d&#8217;orientations, des services d&#8217;examen et d&#8217;&#233;valuation ainsi que des conseils concernant l&#8217;&#233;laboration des arrangements fiscaux entre les Premi&#232;res Nations et les autres autorit&#233;s administratives.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>First Nations Fiscal Management Act (S.C. 2005, c. 9)</em></p>","<p><em>Loi sur la gestion financi&#232;re des premi&#232;res nations (L.C. 2005, ch. 9)</em></p>","www.fnfmb.com","www.fnfmb.com"
,,,"First Nations Tax Commission","NULL","First Nations Tax Commission","Commission de la fiscalité des premières nations","Aboriginal Affairs and Northern Development","Affaires autochtones et du développement du Nord canadien","Duncan, John (Hon.)","Minister of Aboriginal Affairs and Northern Development","NULL","NULL","NULL","NULL","Duncan, John (L'hon.)","ministre des Affaires autochtones et du développement du Nord canadien","NULL","NULL","NULL","NULL","C.T. (Manny) Jules, Chief Commissioner","C.T. (Manny) Jules, commissaire en chef","<p>The purposes of the Commission are to</p> <p>(<em>a</em>)&#160;ensure the integrity of the system of First Nations real property taxation and promote a common approach to First Nations real property taxation nationwide, having regard to variations in provincial real property taxation systems;</p> <p>(<em>b</em>)&#160;ensure that the real property taxation systems of First Nations reconcile the interests of taxpayers with the responsibilities of chiefs and councils to govern the affairs of First Nations;</p> <p>(<em>c</em>)&#160;prevent, or provide for the timely resolution of, disputes in relation to the application of local revenue laws;</p> <p>(<em>d</em>)&#160;assist First Nations in the exercise of their jurisdiction over real property taxation on reserve lands and build capacity in First Nations to administer their taxation systems;</p> <p>(<em>e</em>)&#160;develop training programs for First Nation real property tax administrators;</p> <p>(<em>f</em>)&#160;assist First Nations to achieve sustainable economic development through the generation of stable local revenues;</p> <p>(<em>g</em>)&#160;promote a transparent First Nations real property taxation regime that provides certainty to taxpayers;</p> <p>(<em>h</em>)&#160;promote understanding of the real property taxation systems of First Nations; and</p> <p>(<em>i</em>)&#160;provide advice to the Minister regarding future development of the framework within which local revenue laws are made.&#160;</p>","<p>La Commission a pour mission :</p> <p><em>a</em>)&#160;de prot&#233;ger l&#8217;int&#233;grit&#233; du r&#233;gime d&#8217;imposition fonci&#232;re des Premi&#232;res Nations et de promouvoir une vision commune de ce r&#233;gime &#224; travers le Canada, compte tenu des diff&#233;rences entre les r&#233;gimes provinciaux en la mati&#232;re;</p> <p><em>b</em>)&#160;de veiller &#224; ce que le r&#233;gime d&#8217;imposition fonci&#232;re des Premi&#232;res Nations fonctionne de mani&#232;re &#224; concilier les int&#233;r&#234;ts des contribuables avec les responsabilit&#233;s assum&#233;es par les chefs et les conseils dans la gestion des affaires des Premi&#232;res Nations;</p> <p><em>c</em>)&#160;de pr&#233;venir ou de r&#233;soudre promptement les diff&#233;rends portant sur l&#8217;application des textes l&#233;gislatifs sur les recettes locales;</p> <p><em>d</em>)&#160;d&#8217;aider les Premi&#232;res Nations &#224; exercer leur comp&#233;tence en mati&#232;re d&#8217;imposition fonci&#232;re sur les terres de r&#233;serve et &#224; d&#233;velopper leur capacit&#233; &#224; g&#233;rer leurs r&#233;gimes fiscaux;</p> <p><em>e</em>)&#160;d&#8217;offrir de la formation aux administrateurs fiscaux des Premi&#232;res Nations;</p> <p><em>f</em>)&#160;d&#8217;aider les Premi&#232;res Nations &#224; atteindre un d&#233;veloppement &#233;conomique durable par la perception de recettes locales stables;</p> <p><em>g</em>)&#160;d&#8217;encourager la transparence du r&#233;gime d&#8217;imposition fonci&#232;re des Premi&#232;res Nations de fa&#231;on &#224; garantir la pr&#233;visibilit&#233; aux contribuables;</p> <p><em>h</em>)&#160;de favoriser la compr&#233;hension des r&#233;gimes d&#8217;imposition fonci&#232;re des Premi&#232;res Nations;</p> <p><em>i</em>)&#160;de conseiller le ministre quant au d&#233;veloppement&#160;du cadre dans lequel les textes l&#233;gislatifs sur les recettes locales sont pris.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>First Nations Fiscal Management Act (S.C. 2005. c. 9)</em></p>","<p><em>Loi sur la gestion financi&#232;re des premi&#232;res nations (L.C. 2005, ch. 9)</em></p>","www.fntc.ca","www.fntc.ca"
,,,"Fredericton International Airport Authority Inc.","NULL","Fredericton International Airport Authority Inc.","Fredericton International Airport Authority Inc.","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","David Innes, President and Chief Executive Officer","David Innes, président-directeur général","<p>To manage, operate, and develop the airport.</p>","<p>G&#233;rer, exploiter et am&#233;nager l&#8217;a&#233;roport.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.frederictonairport.ca","www.frederictonairport.ca"
,,,"Gander International Airport Authority Inc.","NULL","Gander International Airport Authority Inc.","Gander International Airport Authority Inc.","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Gary Vey, President and Chief Executive Officer","Gary Vey, président-directeur général","<p>To manage, operate, and develop the airport.</p>","<p>G&#233;rer, exploiter et am&#233;nager l&#8217;a&#233;roport.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.ganderairport.com","www.ganderairport.com"
,,,"Greater London International Airport Authority","NULL","Greater London International Airport Authority","Greater London International Airport Authority","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Mike Seabrook, President and Chief Executive Officer","Mike Seabrook, président-directeur général","<p>To manage, operate, and develop the airport.</p>","<p>G&#233;rer, exploiter et am&#233;nager l&#8217;a&#233;roport.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.londonairport.on.ca","www.londonairport.on.ca"
,,,"Greater Moncton International Airport Authority Inc.","NULL","Greater Moncton International Airport Authority Inc.","Greater Moncton International Airport Authority Inc.","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Rob Robichaud, President and Chief Executive Officer","Rob Robichaud, président-directeur général","<p>To manage, operate, and develop the airport.</p>","<p>G&#233;rer, exploiter et am&#233;nager l&#8217;a&#233;roport.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.cyqm.ca","www.cyqm.ca"
,,,"Greater Toronto Airports Authority","NULL","Greater Toronto Airports Authority","Greater Toronto Airports Authority","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Howard Eng, President and Chief Executive Officer","Howard Eng, président-directeur général","<p>To manage, operate, and develop the airports.</p>","<p>G&#233;rer, exploiter et am&#233;nager l&#8217;a&#233;roport.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.torontopearson.com/gtaa.aspx#","www.torontopearson.com/gtaa.aspx#"
,,,"Halifax International Airport Authority","NULL","Halifax International Airport Authority","Halifax International Airport Authority","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Tom Ruth, President and Chief Executive Officer","Tom Ruth, président-directeur général","<p>To manage, operate, and develop the airport.</p>","<p>G&#233;rer, exploiter et am&#233;nager l&#8217;a&#233;roport.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.hiaa.ca","www.hiaa.ca"
,,,"Halifax Port Authority","NULL","Halifax Port Authority","Administration portuaire de Halifax","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Karen Oldfield, President and Chief Executive Officer","Karen Oldfield, présidente-directrice générale","<p>To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and from the community in which the port is located.</p>","<p>G&#233;rer l&#8217;infrastructure et les services maritimes sur une base commerciale tout en favorisant la participation des utilisateurs du port et de la collectivit&#233; dans laquelle il est situ&#233; et en tenant compte de leurs opinions.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Marine Act</em>, S.C. 1998, c. 10</p>","<p><em>Loi maritime du Canada</em>, L.C. 1998, ch. 10</p>","www.portofhalifax.ca","www.portofhalifax.ca"
,,,"Hamilton Port Authority","NULL","Hamilton Port Authority","Administration portuaire de Hamilton","Transport","Transports","Raitt, Lisa (Hon.)","Minister of Transport","NULL","NULL","NULL","NULL","Raitt, Lisa (L'hon.)","ministre des Transports","NULL","NULL","NULL","NULL","Bruce Wood, President and Chief Executive Officer","Bruce Wood, président-directeur général","<p>To manage the marine infrastructure and services in a commercial manner that encourages and takes into account input from users and the community in which the port is located.</p>","<p>G&#233;rer l&#8217;infrastructure et les services maritimes sur une base commerciale tout en favorisant la participation des utilisateurs du port et de la collectivit&#233; dans laquelle il est situ&#233; et en tenant compte de leurs opinions.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Marine Act</em>, S.C. 1998, c. 10</p>","<p><em>Loi maritime du Canada</em>, L.C. 1998, ch. 10</p>","www.hamiltonport.ca","www.hamiltonport.ca"
,,,"Health Council of Canada","NULL","Health Council of Canada","Conseil canadien de la santé","Health","Santé","Aglukkaq, Leona (Hon.)","Minister of Health","NULL","NULL","NULL","NULL","Aglukkaq, Leona (L'hon.)","ministre de la Santé","NULL","NULL","NULL","NULL","John Abbott, Chief Executive Officer","John Abbott, chef de la direction","<p>To monitor and publicly report on progress made in the implementation of the 2003 and 2004 First Ministers&#8217; Accords on health care renewal, as well as on the health status and health outcomes of Canadians.</p>","<p>Surveiller et faire rapport au public concernant les progr&#232;s accomplis relativement &#224; la mise en &#339;uvre des Accords des premiers ministres de 2003 et 2004 sur le renouvellement des soins de sant&#233;, l&#8217;&#233;tat de sant&#233; et les r&#233;sultats en mati&#232;re de sant&#233; des Canadiens.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Not-for-profit Corporations Act</em>, S.C. 2009, c. 23</p>","<p><em>Loi canadienne sur les organisations &#224; but non lucratif</em>, L.C. 2009, ch. 23</p>","www.healthcouncilcanada.ca","www.conseilcanadiendelasante.ca"
"IOG","Indian Oil and Gas Canada","Pétrole et gaz des Indiens du Canada","Indian Oil and Gas Canada","NULL","Indian Oil and Gas Canada","Pétrole et gaz des Indiens du Canada","Aboriginal Affairs and Northern Development","Affaires autochtones et du développement du Nord canadien","Duncan, John (Hon.)","Minister of Aboriginal Affairs and Northern Development","NULL","NULL","NULL","NULL","Duncan, John (L'hon.)","ministre des Affaires autochtones et du développement du Nord canadien","NULL","NULL","NULL","NULL","Strater Crowfoot, Chief Executive Officer and Executive Director","Strater Crowfoot, président-directeur général et directeur exécutif","<p>To fulfill the Crown's fiduciary and statutory obligations related to the management of oil and gas resources on First Nation lands.</p> <p>To further First Nation initiatives to manage and control their oil and gas resources (i.e., governance).</p>","<p>Ex&#233;cuter les obligations fiduciaires et l&#233;gales de la Couronne concernant la gestion des ressources p&#233;troli&#232;res et gazi&#232;res situ&#233;es sur les terres des Premi&#232;res nations.</p> <p>Faciliter les initiatives des Premi&#232;res nations d&#233;sireuses d'assumer la gestion et la ma&#238;trise de leurs propres ressources p&#233;troli&#232;res et gazi&#232;res (&#224; savoir la gouvernance).</p>","Special Operating Agency","Organismes de services spéciaux","<p><em>Indian Oil and Gas Act</em>, R.S.C. 1985, c. I-7</p> <p>Treasury Board Decision No.&#160;820397, July 20, 1993</p>","<p><em>Loi sur le p&#233;trole et le gaz des terres indiennes</em>, L.R.C. 1985, ch. I-7</p> <p>D&#233;cisions rendues par le Conseil du Tr&#233;sor n&#186; 820397,&#160;20 juillet 1993</p>","www.pgic-iogc.gc.ca/eng/1100110010002","www.pgic-iogc.gc.ca/fra/1100110010002/1100110010005"
,,,"Industrial Technologies Office","NULL","Industrial Technologies Office","Office des technologies industrielles","Industry","Industrie","Paradis, Christian (Hon.)","Minister of Industry","NULL","NULL","NULL","NULL","Paradis, Christian (L'hon.)","ministre de l'Industrie","NULL","NULL","NULL","NULL","Karen Corkery, Executive Director","Karen Corkery, Directrice exécutive","<p>The Industrial Technologies Office, a Special Operating Agency of Industry Canada, advances leading edge research and development by Canadian industries. The agency delivers the Strategic Aerospace and Defence Initiative, manages existing projects from the Technology Partnerships Canada program and is in the process of launching a Technology Demonstration Program.</p>","<p>L'Office des technologies industrielles, un organisme de services sp&#233;ciaux d'Industrie Canada, fait progresser la recherche et le d&#233;veloppement de pointe r&#233;alis&#233;s par les industries canadiennes. Il g&#232;re l'Initiative strat&#233;gique pour l'a&#233;rospatiale et la d&#233;fense, les projets existants soutenus dans le cadre du programme Partenariat technologique Canada et est en processus d'annoncer le nouveau Programme de d&#233;monstration de technologie.</p>","Special Operating Agency","Organismes de services spéciaux","<p><em>Department of Industry Act</em>, S.C. 1995, c. 1</p> <p>Treasury Board Decision No. 833402, February 28, 2007</p>","<p><em>Loi sur le minist&#232;re de l&#8217;Industrie</em>, L.C. 1995, ch. 1</p> <p>D&#233;cision du Conseil du Tr&#233;sor&#160; n&#186; 833402, 28 f&#233;vrier, 2007</p>","www.ito.ic.gc.ca","www.ito.ic.gc.ca"
,,,"Institut national du sport du Québec","NULL","Institut national du sport du Québec","Institut national du sport du Québec","Canadian Heritage and Official Languages","Patrimoine canadien et Langues officielles","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Marc Gélinas, Chief Executive Officer","Marc Gélinas, président-directeur général","<p>To help high-performance athletes training for the Olympic Games, world championships, and other international competitions to reach their highest level of performance.</p>","<p>Aider les athl&#232;tes de haut calibre &#224; mieux se pr&#233;parer en vue de l&#8217;atteinte de performances maximales lors des Jeux olympiques, des championnats du monde et d&#8217;autres comp&#233;titions internationales d&#8217;envergure.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Companies Act</em>, R.S.Q. c. C-38</p>","<p><em>Loi sur les compagnies</em>, L.R.Q. ch. C-38</p>","www.multisport.qc.ca","www.multisport.qc.ca/"
,,,"Inter-American Development Bank","NULL","Inter-American Development Bank","Banque interaméricaine de développement","Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement","Baird, John (Hon.)","Minister of Foreign Affairs","NULL","NULL","NULL","NULL","Baird, John (L'hon.)","ministre des Affaires étrangères","NULL","NULL","NULL","NULL","Luis Alberto Moreno, President","Luis Alberto Moreno, président","<p>The main mandate of the Inter-American Development Bank (IDB) is to foster the economic and social development of the IDB&#8217;s borrowing member countries, both individually and collectively. The IDB partners with countries to combat poverty and promote social equity through programs tailored to local conditions. Working with governments as well as with the private sector, the Bank seeks to achieve sustainable economic growth, increase competitiveness, modernize public institutions, and foster free trade and regional integration.</p>","<p>Le principal mandat de la Banque est de favoriser le d&#233;veloppement &#233;conomique et social de ses pays membres emprunteurs, &#224; la fois individuellement et collectivement. En partenariat avec les pays, la Banque interam&#233;ricaine de d&#233;veloppement lutte contre la pauvret&#233; et favorise l'&#233;quit&#233; sociale au moyen de programmes qui sont adapt&#233;s aux situations locales. De concert avec les pouvoirs publics et le secteur priv&#233;, elle s'emploie &#224; r&#233;aliser une croissance &#233;conomique durable, &#224; accro&#238;tre la comp&#233;titivit&#233;, &#224; moderniser les institutions publiques et &#224; promouvoir le libre-&#233;change et l'int&#233;gration r&#233;gionale.</p>","International Organization","Organisations internationales","<p>Articles of Agreement of the Inter-American Development Bank, 1959; implemented in Canada by the <em>International Development (Financial Institutions) Assistance Act</em>, R.S.C. 1985, c. I-18</p>","<p>Articles de convention de la Banque interam&#233;ricaine de d&#233;veloppement, 1959; mis en &#339;uvre au Canada en vertu de la <em>Loi d&#8217;aide au d&#233;veloppement international (institutions financi&#232;res) </em>, L.R.C. 1985, ch. I-18</p>","www.iadb.org","www.iadb.org"
,,,"Internal Trade Secretariat Corporation","NULL","Internal Trade Secretariat Corporation","Corporation du Secrétariat du commerce intérieur","Industry","Industrie","Paradis, Christian (Hon.)","Minister of Industry","NULL","NULL","NULL","NULL","Paradis, Christian (L'hon.)","ministre de l'Industrie","NULL","NULL","NULL","NULL","Patrick Caron, Acting Director","Patrick Caron, Directeur par intérim","<p>To provide administrative and operational support to the Committee on Internal Trade, a body established under Article 1600 of the <em>Agreement on Internal Trade</em>.</p>","<p>Fournir du soutien administratif et op&#233;rationnel au Comit&#233; du commerce int&#233;rieur, un corps &#233;tabli conform&#233;ment &#224; l&#8217;article 1600 de l&#8217;Accord sur le commerce int&#233;rieur.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.ait-aci.ca","www.ait-aci.ca"
,,,"International Bank for Reconstruction and Development","NULL","International Bank for Reconstruction and Development","Banque internationale pour la reconstruction et le développement","Finance","Finances","Flaherty, Jim (Hon.)","Minister of Finance","NULL","NULL","NULL","NULL","Flaherty, Jim (L'hon.)","ministre des Finances","NULL","NULL","NULL","NULL","Jim Yong Kim, President","Jim Yong Kim, président","<p>To assist in the reduction of poverty in middle-income and creditworthy poorer countries by promoting sustainable development through loans, guarantees, risk management products, and analytical and advisory services.</p>","<p>Aider &#224; la r&#233;duction de la pauvret&#233; dans les pays les plus pauvres solvables et &#224; revenu interm&#233;diaire en favorisant le d&#233;veloppement durable gr&#226;ce &#224; des pr&#234;ts, des garanties, des produits de gestion du risque ainsi que des services de consultation et d&#8217;analyse.</p>","International Organization","Organisations internationales","<p><em>Bretton Woods and Related Agreements Act</em>, R.S.C. 1985, c. B-7</p>","<p><em>Loi sur les accords de Bretton Woods et des accords connexes</em>, L.R.C. 1985, ch. B-7</p>","www.worldbank.org","www.banquemondiale.org"
,,,"International Development Association","NULL","International Development Association","Association internationale de développement","Finance","Finances","Flaherty, Jim (Hon.)","Minister of Finance","NULL","NULL","NULL","NULL","Flaherty, Jim (L'hon.)","ministre des Finances","NULL","NULL","NULL","NULL","Jim Yong Kim, President","Jim Yong Kim, président","<p>To reduce poverty by providing interest free loans and grants for programs that boost economic growth, reduce inequalities, and improve people&#8217;s living conditions.</p>","<p>R&#233;duire la pauvret&#233; en accordant des dons et des pr&#234;ts sans int&#233;r&#234;t destin&#233;s &#224; financer des programmes de nature &#224; stimuler la croissance &#233;conomique, &#224; att&#233;nuer les in&#233;galit&#233;s et &#224; am&#233;liorer les conditions de vie des populations.</p>","International Organization","Organisations internationales","<p>Articles of Agreement of the International Development Association, 1960; implemented in Canada by the <em>International Development Association Act</em>, R.S.C. 1970, c. I-21</p>","<p>Articles de convention de l&#8217;Association internationale de d&#233;veloppement, 1960; mis en &#339;uvre au Canada en vertu de la <em>Loi sur l&#8217;Association internationale de d&#233;veloppement</em>, L.R.C. 1970, ch. I-21</p>","www.worldbank.org","www.banquemondiale.org"
,,,"International Finance Corporation","NULL","International Finance Corporation","Société financière internationale","Finance","Finances","Flaherty, Jim (Hon.)","Minister of Finance","NULL","NULL","NULL","NULL","Flaherty, Jim (L'hon.)","ministre des Finances","NULL","NULL","NULL","NULL","Jin-Yong Cai, Executive Vice-President and Chief Executive Officer","Jin-Yong Cai, vice-président exécutif et chef de la direction","<p>To further economic development by encouraging the growth of productive enterprises in member countries and supplementing the activities of the International Bank for Reconstruction and Development.</p>","<p>Promouvoir le d&#233;veloppement &#233;conomique en encourageant la croissance d&#8217;entreprises productives dans les pays membres et en assurant un compl&#233;ment aux travaux de la Banque internationale pour la reconstruction et le d&#233;veloppement.</p>","International Organization","Organisations internationales","<p>Articles of Agreement of the International Finance Corporation, 1956; implemented in Canada by <em>Appropriation Act No. 6</em></p>","<p>Articles de convention de la Soci&#233;t&#233; financi&#232;re internationale, 1956; mise en &#339;uvre au Canada en vertu de la <em>Loi no 6 portant affectation de cr&#233;dits</em></p>","www.ifc.org","www.ifc.org"
,,,"International Fisheries Commissions Pension Society","NULL","International Fisheries Commissions Pension Society","Société de caisse de retraite de la Commission internationale des pêcheries","Fisheries and Oceans","Pêches et Océans","Ashfield, Keith (Hon.)","Minister of Fisheries and Oceans","Ashfield, Keith (Hon.)","Minister for the Atlantic Gateway","NULL","NULL","Ashfield, Keith (L'hon.)","ministre des Pêches et des Océans","Ashfield, Keith (L'hon.)","ministre de la porte d'entrée de l'Atlantique","NULL","NULL","Bryce Peacock, President","Bryce Peacock, président","<p>To arrange for and administer the provision of pensions and insurance for employees of any international fisheries commission or organization whose seat or headquarters is established and maintained by Canada or the U.S., or both.</p>","<p>Prendre des dispositions et des mesures administratives pour que les employ&#233;s de toute commission internationale de p&#234;cheries dont l&#8217;administration centrale est &#233;tablie et maintenue par le Canada ou les &#201;tats-Unis, ou les deux, soient prot&#233;g&#233;s par un r&#233;gime de retraite et d&#8217;assurances.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p>Letters Patent pursuant to the <em>Canada Corporations Act</em>, 1957</p>","<p>Lettres patentes en vertu de la <em>Loi sur les corporations canadiennes</em>, 1957</p>","N.A.","N.A."
,,,"International Lake Memphremagog Board","NULL","International Lake Memphremagog Board","Commission internationale du lac Memphrémagog","Environment","Environnement","Kent, Peter (Hon.)","Minister of the Environment","NULL","NULL","NULL","NULL","Kent, Peter (L'hon.)","ministre de l'Environnement","NULL","NULL","NULL","NULL","NULL","NULL","<p>To provide a forum for dispute resolution regarding the regulation of the water levels of Lake Memphremagog in accordance with international obligations and federal and provincial legislation.</p>","<p>Fournir une tribune pour le r&#232;glement des conflits relatifs &#224; la r&#233;gulation des niveaux de l&#8217;eau du lac Memphr&#233;magog, conform&#233;ment aux engagements internationaux et aux lois f&#233;d&#233;rales et provinciales</p>","International Organization","Organisations internationales","<p>The Board was created in 1920 pursuant to a Canada&#8211;US agreement</p>","<p>La commission a &#233;t&#233; cr&#233;&#233;e en 1920 en vertu d&#8217;une entente conclue entre les gouvernements du Canada et des Etats-Unis.</p>","N.A.","N.A."
