"Organizations","Program Activity"," Activités de Programme","Expenditures for fiscal year 2010-11","Expenditures for fiscal year 2011-12","Expenditures for fiscal year 2010-11","Expenditures for fiscal year 2011-12","Expenditures for fiscal year 2012-13"
"FO","Science (Safe and Accessible Waterways)","La science au service des voies navigables sécuritaires et accessibles","39,298,558",0,"39,298,558",0,0
"FO","Science (Sustainable Fisheries and Aquaculture)","La science au service des pêches et d'une aquaculture durables","133,741,809",0,"133,741,809",0,0
"FO","Small Craft Harbours","Ports pour petits bâteaux","206,434,141","163,627,785","206,434,141","163,627,785","111,762,240"
"FO","Species at Risk Management","Gestion des espèces en péril","22,136,014","26,214,362","22,136,014","26,214,362","22,438,827"
"FO","Integrated Fisheries Resource Management","Gestion intégrée des ressources halieutiques",0,"138,610,832",0,"138,610,832","120,395,929"
"FO","Oceans Management","Gestion des océans",0,"38,685,118",0,"38,685,118","37,284,599"
"FO","Fisheries Strategies and Governance","Stratégies et gouvernance en matière de pêches",0,"35,522,106",0,"35,522,106","35,413,462"
"FO","Aboriginal Strategies and Governance","Stratégies et gouvernance autochtones",0,"104,914,738",0,"104,914,738","85,309,398"
"FO","Sustainable Aquaculture Program","Programme d'aquaculture durable",0,"36,827,306",0,"36,827,306","34,288,659"
"FO","Aquatic Animal Health","Santé des animaux aquatiques",0,"6,298,859",0,"6,298,859","6,015,341"
"FO","Biotechnology and Genomics","Biotechnologie et génomique",0,"3,446,084",0,"3,446,084","3,327,949"
"FO","International Engagement","Engagement à l’échelle internationale",0,"14,788,564",0,"14,788,564","14,033,632"
"FO","Maritime navigation","Navigation maritime",0,"5,415,240",0,"5,415,240","51,599,881"
"FO","Aids to Navigation","Aides à la navigation",0,"20,621,675",0,"20,621,675",0
"FO","Icebreaking Services","Services de déglaçage",0,"22,991,263",0,"22,991,263",0
"FO","Territorial Delineation","Délimitation du térritoire",0,"5,362,888",0,"5,362,888","3,944,254"
"FO","Compliance and Enforcement","Conformité et application de la loi",0,"116,320,563",0,"116,320,563","107,321,670"
"FO","Salmonid Enhancement Program","Programme de mise en valeur des salmonidés",0,"30,181,277",0,"30,181,277","29,034,212"
"FO","Aboriginal Inland Habitat Program","Programme autochtone de gestion de l'habitat dans les régions intérieures",0,"2,068,505",0,"2,068,505",0
"FO","Internal Services","Services internes","371,227,347","336,669,563","371,227,347","336,669,563","301,461,246"
"FO","Environmental Response Services","Services d'intervention environnementale",0,"10,906,905",0,"10,906,905","11,147,469"
"FO","Aquatic Invasive Species","Espèces aquatiques envahissantes",0,"11,525,150",0,"11,525,150","12,455,824"
"FO","Search and Rescue Services","Services de recherche et sauvetage",0,"39,712,535",0,"39,712,535","38,113,431"
"FO","Marine Communications and Traffic Services","Services de communications et de trafic maritimes",0,"46,952,434",0,"46,952,434","52,570,352"
"FO","Maritime Security","Sécurité maritime",0,"6,399,627",0,"6,399,627","6,614,796"
"FO","Fleet Operational Readiness","État de préparation opérationnelle de la flotte",0,"416,939,960",0,"416,939,960","431,657,999"
"FO","Shore-Based Asset Readiness","État de préparation des actifs terrestres de la flotte",0,"118,379,862",0,"118,379,862","137,714,376"
"FO","Canadian Coast Guard College","Collège de la garde côtière canadienne",0,"14,526,940",0,"14,526,940","15,886,367"
"FO","Hydrographic Products and Services","Produits et services hydrographiques",0,"30,904,950",0,"30,904,950","30,368,076"
"FO","Ocean Forecasting","Prévisions océaniques",0,"14,460,688",0,"14,460,688","17,282,396"
"EA","Diplomacy and Advocacy","Diplomatie et Défense des intérêts","1,271,892,517","1,063,589,744","1,271,892,517","1,063,589,744","940,538,085"
"EA","Common Services and Infrastructure - Missions Abroad","La plateforme internationale du Canada : Soutien aux missions à l'étranger","494,646,364",0,"494,646,364",0,0
"EA","Governance, Strategic Direction, and Common Service Delivery","Gouvernance, orientations stratégiques et prestation de services communs","309,877,847","654,591,115","309,877,847","654,591,115","716,016,050"
"EA","Consular Services and Emergency Management","Affaires consulaires et gestion des urgences","54,808,179","67,959,797","54,808,179","67,959,797","54,470,658"
"EA","Passport Canada Special Operating Agency (Revolving Fund)","Passeport Canada - Organisme de service spécial (Fonds renouvelable)","16,791,745","19,528,819","16,791,745","19,528,819","23,139,633"
"EA","International Policy Advice and Integration","Conseils stratégiques et Intégration des politiques internationales","226,648,136","99,300,161","226,648,136","99,300,161","92,434,881"
"EA","International Commerce","Commerce international","314,571,857","167,454,636","314,571,857","167,454,636","160,582,217"
"EA","Government of Canada Benefits","Prestations du gouvernement du Canada",0,"212,015,924",0,"212,015,924","220,037,627"
"EA","Internal Services","Services internes","152,550,818","198,025,371","152,550,818","198,025,371","187,659,960"
"GG","Canadian Honours Program","Programme des distinctions honorifiques du Canada","3,145,806",0,"3,145,806",0,0
"GG","Governor General Support","Soutien du gouverneur général","11,682,371","13,943,281","11,682,371","13,943,281","14,081,012"
"GG","Internal Services","Services internes","5,395,619","7,784,110","5,395,619","7,784,110","6,747,879"
"HMIRC","Statutory Decisions and Compliant Information","Décisions statutaires et information conforme",0,"2,192,008",0,"2,192,008","2,418,006"
"HMIRC","Stakeholder Engagement and Strategic Partnerships","Engagement des intervenants et partenariats stratégiques",0,"427,293",0,"427,293","540,128"
"HMIRC","Claims Exemption Process","Processus de demandes de dérogation","3,305,689",0,"3,305,689",0,0
"HMIRC","Internal Services","Services internes","2,760,680","1,911,669","2,760,680","1,911,669","1,927,237"
"H","Environmental Risks to Health","Risques pour la santé liés à l'environnement","134,885,333","105,098,576","134,885,333","105,098,576","103,655,546"
"H","Pesticide Safety","Sécurité des pesticides","46,303,001","46,821,505","46,303,001","46,821,505","42,148,137"
"H","First Nations and Inuit Primary Health Care","Soins de santé primaires aux membres des Premières nations et aux Inuits","2,402,092,681","949,048,228","2,402,092,681","949,048,228","945,580,413"
"H","Substance Use and Abuse","Consommation et abus de substances","123,973,326","123,029,291","123,973,326","123,029,291","115,533,278"
"H","Specialized Health Services","Services de santé spécialisés","31,748,826","22,342,045","31,748,826","22,342,045","19,926,803"
"H","Consumer Products Safety","Sécurité des produits de consommation","27,923,098","27,660,103","27,923,098","27,660,103","28,148,044"
"H","Canadian Health System","Système de santé canadien","377,471,427","371,307,899","377,471,427","371,307,899","405,697,982"
"H","Canadian Assisted Human Reproduction","La procréation assistée au Canada","3,361,466",0,"3,361,466",0,0
"H","International Health Affairs","Les affaires internationales de santé","18,744,519",0,"18,744,519",0,0
"H","Health Products","Produits de santé","170,639,064","177,232,254","170,639,064","177,232,254","164,654,898"
"H","Food Safety and Nutrition","Salubrité des aliments et nutrition","58,366,080","67,876,527","58,366,080","67,876,527","69,655,161"
"H","Internal Services","Services internes","357,066,031","379,838,149","357,066,031","379,838,149","374,914,169"
"H","Official Language Minority Community Development","Développement des communautés de langue officielle en situation minoritaire",0,"38,954,051",0,"38,954,051","39,011,188"
"H","Radiation Protection","Radioprotection",0,"14,034,921",0,"14,034,921","15,303,974"
"H","Supplementary Health Benefits for First Nations and Inuit","Prestations supplémentaires en santé à l'intention des membres des Premières nations et des Inuits",0,"1,111,497,049",0,"1,111,497,049","1,140,213,493"
"H","Health Infrastructure Support for First Nations and Inuit","Soutien à l'infrastructure de santé dans les collectivités des Premières nations et des Inuits",0,"351,559,090",0,"351,559,090","356,715,000"
"HC","House Administration","Administration de la Chambre","171,405,596","173,620,584","171,405,596","173,620,584","188,261,984"
"HC","Members and House Officers","Députés et agents supérieurs de la Chambre","252,858,355","253,614,322","252,858,355","253,614,322","241,674,987"
"HRSD","Labour","Travail","140,293,241","155,702,875","140,293,241","155,702,875","141,638,166"
"HRSD","Learning","Apprentissage","1,870,040,097","2,282,320,964","1,870,040,097","2,282,320,964","2,274,086,340"
"HRSD","Citizen-Centred Service","Services axés sur la clientèle","209,603,199","185,319,272","209,603,199","185,319,272","130,627,625"
"HRSD","Skills and Employment","Compétences et emploi","4,909,450,613","1,677,104,586","4,909,450,613","1,677,104,586","1,902,275,248"
"HRSD","Income Security","Sécurité du revenu","35,797,298,347","38,288,682,712","35,797,298,347","38,288,682,712","40,557,943,884"
"HRSD","Integrity and Processing","Intégrité et traitement","188,561,892","146,059,896","188,561,892","146,059,896","139,033,788"
"HRSD","Social Development","Développement social","2,917,241,096","2,865,646,343","2,917,241,096","2,865,646,343","2,996,545,951"
"HRSD","Internal Services","Services internes","273,703,096","352,615,240","273,703,096","352,615,240","292,813,622"
"IRB","Admissibility Hearings and Detention Reviews","Enquêtes et contrôles des motifs de détention","10,988,798","11,534,614","10,988,798","11,534,614","11,078,782"
"IRB","Immigration Appeal","Appels en matière d'immigration","16,376,641","16,482,533","16,376,641","16,482,533","14,521,651"
"IRB","Refugee Protection","Protection des réfugiés","63,375,212","72,439,868","63,375,212","72,439,868","69,780,481"
"IRB","Refugee Appeal","Appels des réfugiés",0,"1,799,737",0,"1,799,737","3,818,100"
"IRB","Internal Services","Services internes","34,817,932","38,551,872","34,817,932","38,551,872","35,059,429"
"INAC","Aboriginal Economic Development","Développement économique des Autochtones","109,473,671","239,201,681","109,473,671","239,201,681","238,105,460"
"INAC","Clarity of Title to Land and Resources","Certitude en matière de titres fonciers et d'access aux ressources","10,815,910",0,"10,815,910",0,0
"INAC","Community Infrastructure","Infrastructure communautaire","1,300,419,720","1,096,884,900","1,300,419,720","1,096,884,900","1,073,406,412"
"INAC","Co-operative Relationships","Relations de coopération","169,679,295","423,350,425","169,679,295","423,350,425","674,086,734"
"INAC","Education","Éducation","1,785,154,797","1,675,032,572","1,785,154,797","1,675,032,572","1,734,756,058"
"INAC","First Nations Governance over Land, Resources and the Environment","Gestion des terres, des ressources et de l'environnement par les Premières nations","12,626,380",0,"12,626,380",0,0
"INAC","Healthy Northern Communities","Des collectivités nordiques en santé","114,979,002",0,"114,979,002",0,0
"INAC","Governance and Institutions of Government","Gouvernance et institutions gouvernementales","698,155,612","495,924,086","698,155,612","495,924,086","484,410,694"
"INAC","Managing Individual Affairs","Gestion des affaires des particuliers","557,428,209","43,315,379","557,428,209","43,315,379","37,059,921"
"INAC","Northern Economy","Économie du Nord","22,904",0,"22,904",0,0
"INAC","Northern Governance and People","Gouvernance et gens du Nord","25,790,326","126,585,267","25,790,326","126,585,267","136,472,218"
"INAC","Northern Land, Resources and Environmental Management","Gestion des terres, des ressources et de l’environnement du Nord","278,359,558","179,853,665","278,359,558","179,853,665","176,818,376"
"INAC","Federal Administration of Reserve Land","Gestion fédérale des terres de réserve","164,562,391","207,290,932","164,562,391","207,290,932","112,438,523"
"INAC","Social Development","Développement social","1,610,935,894","1,678,033,127","1,610,935,894","1,678,033,127","1,709,912,535"
"INAC","Treaty Management","Gestion des traités","836,497,058","735,709,878","836,497,058","735,709,878","717,808,669"
"INAC","Individual and Community Business Development","Développement des entreprises individuelles et communautaires","55,308,338",0,"55,308,338",0,0
"INAC","Urban Aboriginal Strategy","Stratégie pour les Autochtones vivant en milieu urbain","14,529,108","14,899,569","14,529,108","14,899,569","52,255,804"
"INAC","Métis and non-status Indian Organizational Capacity Development","Développement des capacités organisationnelles des Métis et des Indiens non inscrits","15,867,047","16,343,334","15,867,047","16,343,334","14,814,062"
"INAC","Métis Rights Management","Gestion des droits des Métis","8,798,957","9,504,333","8,798,957","9,504,333","7,870,718"
"INAC","Residential Schools Resolution","Résolution des questions des pensionnats",0,"560,294,872",0,"560,294,872","593,297,435"
"INAC","Northern Science and Technology","Science et technologies du Nord",0,"15,996,209",0,"15,996,209","12,862,568"
"INAC","Internal Services","Services internes","407,602,455","362,662,908","407,602,455","362,662,908","318,766,155"
"TRC","Truth and Reconciliation","Vérité et réconciliation","7,814,369","16,084,837","7,814,369","16,084,837","8,527,534"
"TRC","Internal Services","Services internes","2,819,128","3,160,316","2,819,128","3,160,316","3,290,781"
"ISC","Information and Communication Technologies Research and Innovation","Recherche et innovation dans les domaines des technologies de l'information et des télécommunications","46,111,852","44,920,362","46,111,852","44,920,362","47,581,822"
"ISC","Competition Law Enforcement","Application de la législation sur la concurrence","45,632,328","49,936,642","45,632,328","49,936,642","49,730,971"
"ISC","Industrial Competitiveness and Capacity","La compétitivité et la capacité industrielles","92,357,003","39,598,155","92,357,003","39,598,155","44,123,977"
"ISC","Research and Development Financing","Financement de la recherche-développement industrielle","247,048,795","332,865,598","247,048,795","332,865,598","349,193,500"
"ISC","Consumer Affairs Program","Programme des consommateurs","5,038,648","4,820,367","5,038,648","4,820,367","4,606,545"
"ISC","Community Economic Development","Développement économique des collectivités","145,524,077","153,211,215","145,524,077","153,211,215","76,756,979"
"ISC","Marketplace Frameworks and Regulations","Cadres et règlementation du marché","40,337,425","39,051,649","40,337,425","39,051,649","30,275,871"
"ISC","Science, Technology and Innovation Capacity","Capacité dans les domaines des sciences, de la technologie et de l'innovation","1,068,895,819","440,838,151","1,068,895,819","440,838,151","415,896,394"
"ISC","Spectrum, Telecommunications and the On-line Economy","Spectre, télécommunications et économie en ligne","90,981,167","91,353,868","90,981,167","91,353,868","126,216,305"
"ISC","Small Business Research, Advocacy and Services","Recherche et services pour les petites entreprises, et défense de leurs intérêts","111,428,476","99,038,193","111,428,476","99,038,193","81,516,335"
"ISC","Security and Prosperity Partnership of North America - Canadian Secretariat","Partenariat nord-américain pour la sécurité et la prospérité â€” Secrétariat canadien","26,690",0,"26,690",0,0
"ISC","Internal Services","Services internes","161,615,316","151,075,979","161,615,316","151,075,979","131,684,019"
"IDRC","International Development Research Centre","Centre de recherches pour le développement international","195,917,432","237,907,649","195,917,432","237,907,649","156,223,043"
"IJC","Boundary Waters Treaty","Traité des eaux limitrophes","6,457,310","6,084,112","6,457,310","6,084,112","4,651,867"
"IJC","Great Lakes Water Quality Agreement","Accord relatif à la qualité de l'eau dans les Grands Lacs","2,145,760","1,966,985","2,145,760","1,966,985","1,855,631"
"JUS","Office of the Federal Ombudsman for Victims of Crime","Bureau de l’ombudsman fédéral des victimes d’actes criminels","1,302,852","1,248,281","1,302,852","1,248,281","1,178,161"
"JUS","Stewardship of the Canadian legal framework","Gestion responsable du cadre juridique canadien","439,650,283","426,666,083","439,650,283","426,666,083","424,204,889"
"JUS","Legal services to government program","Programme des services juridiques au gouvernement","181,369,078","171,563,310","181,369,078","171,563,310","191,992,179"
"JUS","Internal Services","Services internes","139,160,915","145,530,090","139,160,915","145,530,090","116,607,619"
"LAC","Development of Regulatory Instruments and Recordkeeping Tools","Élaboration d'instruments de réglementation et d'outils de tenue de documents","10,537,187","2,437,463","10,537,187","2,437,463","1,442,234"
"LAC","Documentation of the Canadian Experience","Documentation de l'expérience canadienne","48,021,259","11,856,683","48,021,259","11,856,683","13,834,998"
"LAC","Exploration of Documentary Resources","Exploration des ressources documentaires","20,950,342","36,826,142","20,950,342","36,826,142","35,649,520"
"LAC","Internal Services","Services internes","32,356,952","36,748,811","32,356,952","36,748,811","29,685,818"
"LAC","Collaboration in the management of government records of business value to ensure their availability","Collaboration à la gestion des documents gouvernementaux à valeur opérationnelle afin d'en assurer la disponibilité",0,"8,094,103",0,"8,094,103","6,432,497"
"LAC","Preservation of Continuing Memory","Conservation de la mémoire continue",0,"16,058,161",0,"16,058,161","31,878,165"
"LP","Information Support for Parliament","Services d'information aux parlementaires","32,149,738","32,117,273","32,149,738","32,117,273","33,316,312"
"LP","Internal Services","Services internes","9,771,833","9,190,330","9,771,833","9,190,330","11,111,639"
"CNMI","Marine Atlantic Inc.","Marine Atlantique S.C.C.","210,927,022","183,290,595","210,927,022","183,290,595","184,876,000"
"MPCC","Complaints Resolution","Règlement des plaintes","2,288,304","2,715,375","2,288,304","2,715,375","1,967,472"
"MPCC","Internal Services","Services internes","2,134,786","2,207,545","2,134,786","2,207,545","3,334,017"
"NAC","National Arts Centre Corporation","Société du Centre national des Arts","36,131,175","35,781,174","36,131,175","35,781,174","35,601,174"
"NBC","Conservation and Development","Conservation et mise en valeur","2,321,128","2,380,733","2,321,128","2,380,733","2,256,298"
"NBC","Public Education and Services","Éducation et services publics","1,084,595","1,065,700","1,084,595","1,065,700","1,071,905"
"NBC","Internal Services","Services internes","6,482,917","6,357,922","6,482,917","6,357,922","6,294,938"
"NCC","National Capital Commission","Commission de la capitale nationale","158,315,314","107,486,096","158,315,314","107,486,096","108,833,873"
"ND","Real Property and Informatics Infrastructure Acquisition and Disposal","Acquisition et disposition d'infrastructure de biens immobiliers et d'informatique","414,944,899","481,571,883","414,944,899","481,571,883","588,552,268"
"ND","Defence Science and Technology","Science et technologie de défense","384,947,403","399,824,973","384,947,403","399,824,973","370,062,365"
"ND","Recruiting of Personnel and Initial Training","Recrutement et formation initiale du personnel","1,117,862,895","1,071,324,076","1,117,862,895","1,071,324,076","1,138,620,391"
"ND","Equipment Acquisition and Disposal","Acquisition et disposition d'équipement","2,779,774,682","2,381,603,599","2,779,774,682","2,381,603,599","2,254,696,176"
"ND","Maritime Readiness","Disponibilité opérationnelle de la Force maritime","2,164,322,797","2,297,719,989","2,164,322,797","2,297,719,989","2,380,704,842"
"ND","Land Readiness","Disponibilité opérationnelle de l'Armée de terre","3,350,735,070","3,626,298,845","3,350,735,070","3,626,298,845","3,624,785,831"
"ND","Aerospace Readiness","Disponibilité opérationnelle de la Force aérospatiale","1,781,696,158","1,908,490,606","1,781,696,158","1,908,490,606","1,938,240,004"
"ND","Joint and Common Readiness","Disponibilité opérationnelle commune et interarmées","2,187,920,012","2,337,399,100","2,187,920,012","2,337,399,100","2,325,389,660"
"ND","Situational Awareness","Connaissance de la situation","775,516,219","599,458,841","775,516,219","599,458,841","435,588,022"
"ND","Canadian Peace, Stability and Security","Paix, stabilité et sécurité au Canada","318,491,821","336,916,949","318,491,821","336,916,949","351,048,363"
"ND","Continental Peace, Stability and Security","Paix, stabilité et sécurité du continent","190,986,751","202,579,814","190,986,751","202,579,814","234,636,710"
"ND","International Peace, Stability and Security","Paix, stabilité et sécurité sur la scène internationale","2,312,846,365","1,980,673,043","2,312,846,365","1,980,673,043","1,199,828,298"
"ND","Defence Team Personnel Support","Soutien du personnel de l'Équipe de la Défense","906,016,400","1,002,922,888","906,016,400","1,002,922,888","1,656,689,502"
"ND","Canadian Identity","Identité canadienne","353,601,906","369,853,191","353,601,906","369,853,191","359,554,725"
"ND","Environmental Protection and Stewardship","Protection et gérance de l'environnement","122,477,544","126,245,744","122,477,544","126,245,744","108,006,213"
"ND","Non-Security Support","Soutiens non-reliés à la sécurité","6,478,718","17,316,541","6,478,718","17,316,541","2,158,916"
"ND","Internal Services","Services internes","1,129,637,146","1,078,557,780","1,129,637,146","1,078,557,780","1,009,627,845"
"NEB","Energy Regulation Program","Programme Réglementation de l'énergie","26,927,668","34,867,506","26,927,668","34,867,506","44,125,872"
"NEB","Energy Information Program","Programme Information sur l'énergie","6,291,731","8,259,354","6,291,731","8,259,354","5,974,560"
"NEB","Internal Services","Services internes","25,632,618","21,248,754","25,632,618","21,248,754","19,445,209"
"NFB","Audiovisual Production","Production audiovisuelle","44,893,115","42,432,645","44,893,115","42,432,645","41,897,936"
"NFB","Marine Atlantic Inc.","Fonds renouvelable","-475,902",0,"-475,902",0,0
"NFB","Accessibility and Audience Engagement","Accessibilité et interaction avec l'auditoire","14,506,684","16,225,507","14,506,684","16,225,507","19,209,203"
"NFB","Internal Services","Services internes","8,483,248","8,194,426","8,483,248","8,194,426","7,644,722"
"NGC","National Gallery of Canada","Musée des beaux-arts du Canada","51,102,120","49,586,146","51,102,120","49,586,146","48,830,762"
"NMST","National Museum of Science and Technology","Musée national des sciences et de la technologie","35,371,192","30,304,286","35,371,192","30,304,286","31,517,304"
"NPB","Conditional Release Decisions","Décisions relatives à la mise en liberté sous condition","33,779,976","38,243,876","33,779,976","38,243,876","35,653,808"
"NPB","Conditional Release Openness and Accountability","Application transparente et responsable du processus de mise en liberté sous condition","5,693,295","7,087,169","5,693,295","7,087,169","5,562,361"
"NPB","Pardon Decisions/Clemency Recommendations","Décisions relatives à la réhabilitation et recommandations concernant l'exercice de la prérogative royale de clémence","2,094,742","1,153,988","2,094,742","1,153,988","274,473"
"NPB","Internal Services","Services internes","4,426,835","5,703,398","4,426,835","5,703,398","5,021,148"
"NRC","Energy and Environmental Technologies","Énergie et technologies environnementales","36,468,634","30,012,196","36,468,634","30,012,196","27,520,191"
"NRC","National Science and Technology Infrastructure","Infrastructure nationale en science et en technologie","98,608,317","96,359,502","98,608,317","96,359,502","94,893,647"
"NRC","Scientific, Technical and Medical Information","Information scientifique, technique et médicale","33,587,466","18,132,910","33,587,466","18,132,910","16,545,265"
"NRC","Manufacturing Technologies","Technologies de fabrication","128,599,091","111,766,495","128,599,091","111,766,495","99,228,802"
"NRC","Information and Communications Technologies and Emerging Technologies","Technologies de l'information et des communications et technologies émergentes","77,191,489","69,121,818","77,191,489","69,121,818","52,646,923"
"NRC","Industrial Research Assistance","Aide à la recherche industrielle","286,152,655","146,311,268","286,152,655","146,311,268","244,628,683"
"NRC","Health and Life Science Technologies","Technologies en santé et en sciences de la vie","115,102,789","102,913,760","115,102,789","102,913,760","82,478,395"
"NRC","Internal Services","Services internes","127,587,951","123,885,633","127,587,951","123,885,633","186,863,006"
"NRTEE","Advisory Program on Environment and Economy Issues","Programme consultatif sur les enjeux environnementaux et économiques","3,362,375","3,661,802","3,362,375","3,661,802","2,655,386"
"NRTEE","Internal Services","Services internes","1,789,766","1,701,994","1,789,766","1,701,994","2,788,012"
"NR","Clean energy","Énergie propre","1,329,561,608","1,323,313,646","1,329,561,608","1,323,313,646",0
"NR","Ecosystem risk management","Gestion du risque lié aux écosystèmes","198,295,951","199,083,001","198,295,951","199,083,001",0
"NR","Adapting to a changing climate and hazard risk management","S'adapter au changement climatique et gestion du risque lié aux dangers","60,822,192","50,834,869","60,822,192","50,834,869",0
"NR","Natural Resource and Landmass Knowledge and Systems","Des connaissances sur les ressources naturelles et la masse continentale et les systèmes","95,524,071","87,235,443","95,524,071","87,235,443",0
"NR","Geomatics Canada Revolving Fund","Fonds renouvelable de Géomatique Canada","-253,414","444,250","-253,414","444,250",0
"NR","Economic Opportunities for natural resources","Possibilités économiques pour les ressources naturelles","2,351,960,559","1,439,492,489","2,351,960,559","1,439,492,489",0
"NR","Natural resource-based communities","Collectivités tributaires des ressources naturelles","12,683,531","23,288","12,683,531","23,288",0
"NR","Market Access and Diversification","Accès au marché et diversification",0,0,0,0,"55,420,361"
"NR","Innovation for New Products and Processes","Innovation menant à de nouveaux produits et processus",0,0,0,0,"93,948,144"
"NR","Investment In Natural Resource Sectors","Investissement dans les secteurs des ressources naturelles",0,0,0,0,"73,319,149"
"NR","Statutory Programs - Atlantic Offshore","Programmes législatifs - zones extracôtières de l'Atlantique",0,0,0,0,"684,964,769"
"NR","Energy-efficient Practices and Lower-carbon Energy Sources","Pratiques éconergétiques et sources d'énergie à plus faible émission de carbone",0,0,0,0,"342,424,547"
"NR","Technology Innovation","Innovation technologique",0,0,0,0,"152,200,348"
"NR","Responsible Natural Resource Management","Gestion responsable des ressources naturelles",0,0,0,0,"236,874,939"
"NR","Protection for Canadians and Natural Resources","Protection des Canadiens et des ressources naturelles",0,0,0,0,"55,604,146"
"NR","Landmass Information","Information sur la masse continentale",0,0,0,0,"90,961,341"
"NR","Internal Services","Services internes","308,434,470","251,745,617","308,434,470","251,745,617","181,093,220"
"NSERC","Fund Research in Strategic Areas","Financer la recherche dans des domaines stratégiques","108,140,590","107,684,981","108,140,590","107,684,981","101,374,639"
"NSERC","Support for Research Equipment and Major Resources","Appuyer l'achat d'appareils et l'accès aux ressources majeures de recherche","71,036,088","66,408,464","71,036,088","66,408,464","60,711,985"
"NSERC","Attract and Retain Faculty","Attirer et garder en poste des membres du corps enseignant","161,123,214","137,196,679","161,123,214","137,196,679","135,248,080"
"NSERC","Fund Basic Research","Financer la recherche fondamentale","369,060,980","357,534,312","369,060,980","357,534,312","369,797,993"
"NSERC","Fund University-Industry-Government Partnerships","Financer des partenariats universités-industrie-gouvernement","122,029,034","184,682,265","122,029,034","184,682,265","185,440,529"
"NSERC","Promote Science and Engineering","Promouvoir les sciences et le génie","11,933,640","5,218,158","11,933,640","5,218,158","5,114,986"
"NSERC","Support Commercialization","Appuyer la commercialisation","53,112,017","57,942,110","53,112,017","57,942,110","50,878,787"
"NSERC","Support Students and Fellows","Appuyer les étudiants et les boursiers","153,759,352","144,055,249","153,759,352","144,055,249","140,261,268"
"NSERC","Internal Services","Services internes","25,748,999","25,015,376","25,748,999","25,015,376","27,153,005"
"NPA","Oversee the planning and construction of the canadian portion of the Alaska highway gas pipeline","Surveiller la planification et la construction de la partie canadienne du projet de gazoduc de la route de l'Alaska","1,124,556","2,107,613","1,124,556","2,107,613","1,920,142"
"OICC","Provincial-Territorial Infrastructure Base Fund","Financement de base de l'infrastructure des provinces et des territoires","437,322,406","188,695,432","437,322,406","188,695,432","236,858,957"
"OICC","Gas Tax Fund","Fonds de la taxe sur l'essence","1,751,558,460","2,206,246,353","1,751,558,460","2,206,246,353","1,965,101,267"
"OICC","Building Canada Fund-Communities component","Fonds Chantiers Canada -- Volet Collectivités","224,278,306","213,883,528","224,278,306","213,883,528","185,562,310"
"OICC","Building Canada Fund - Major Infrastructure Component","Fonds Chantiers Canada -- Volet Grandes infrastructures","404,966,944","759,827,768","404,966,944","759,827,768","922,540,575"
"OICC","Green Infrastructure Fund","Fonds pour l'infrastructure verte","34,162,512","30,273,741","34,162,512","30,273,741","116,441,609"
"OICC","Canada Strategic Infrastructure Fund","Fonds canadien sur l'infrastructure stratégique","335,675,193","188,381,898","335,675,193","188,381,898","240,062,809"
"OICC","Municipal Rural Infrastructure Fund","Fonds sur l'infrastructure municipale rurale","146,274,267","88,043,032","146,274,267","88,043,032","35,917,298"
"OICC","Border Infrastructure Fund","Fonds sur l'infrastructure frontalière","67,783,158","35,041,544","67,783,158","35,041,544","7,508,396"
"OICC","Economic Analysis and Research","Analyse économique et recherche","1,051,353","3,143,090","1,051,353","3,143,090","502,999"
"OICC","Infrastructure Stimulus Fund","Fonds de stimulation de l'infrastructure","2,478,125,347","634,927,373","2,478,125,347","634,927,373","54,454"
"OICC","Building Canada Fund  Communities Component Top-Up","Fonds Chantiers Canada -- Volet Collectivités - ajout","303,562,134","136,121,760","303,562,134","136,121,760",0
"OICC","Support for the G8 Summit 2010","Appui pour le Sommet du G8 2010","4,570,786",0,"4,570,786",0,0
"OICC","National Trails Coalition","Coalition nationale sur les sentiers","101,248",0,"101,248",0,0
"OICC","Internal Services","Services internes","62,358,620","55,524,756","62,358,620","55,524,756","42,105,718"
"ORL","Registration of Lobbyists","Enregistrement des lobbyistes","1,082,143","1,037,644","1,082,143","1,037,644","1,124,001"
"ORL","Education and Research","Éducation et recherche","927,220","939,571","927,220","939,571","924,150"
"ORL","Reviews and investigations under the Lobbying Act and the Lobbyists' Code of Conduct","Examens et enquêtes en vertu de la Loi sur le lobbying et du Code de déontologie des lobbyistes","945,296","1,106,171","945,296","1,106,171","1,019,962"
"ORL","Internal Services","Services internes","1,731,275","1,778,204","1,731,275","1,778,204","1,677,201"
"OCOL","Linguistic Rights Protection","Protection des droits linguistiques","6,557,545","7,058,731","6,557,545","7,058,731","6,321,862"
"OCOL","Linguistic Duality Promotion","Promotion de la dualité linguistique","6,355,479","6,537,097","6,355,479","6,537,097","6,494,480"
"OCOL","Internal Services","Services internes","8,564,710","8,759,208","8,564,710","8,759,208","8,317,674"
"OCSEC","The Communications Security Establishment Canada review program","Programme d'examen du Centre de la sécurité des télécommunications Canada","1,144,182","1,052,044","1,144,182","1,052,044","1,662,369"
"OCSEC","Internal Services","Services internes","461,777","890,384","461,777","890,384","623,350"
"OEC","Administration of the Conflict of Interest Act and the Conflict of Interest Code for Members of the House of Commons","Application de la Loi sur les conflits d'intérêts et du Code régissant les conflits d'intérêts des députés","3,752,932","4,160,323","3,752,932","4,160,323","4,304,011"
