"Organisations","Vote*","Votestattype","Description","Description","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2012-13","Authority used in 2012-13"
"CRTC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","6,165,467","6,165,467","6,436,734","6,436,734","6,165,467","6,165,467","6,436,734","6,436,734","6,321,849","6,321,849"
"CSIS","20",1,"Dépenses du programme","Program expenditures","456,554,255","441,556,427","523,634,140","491,177,125","456,554,255","441,556,427","523,634,140","491,177,125","486,635,856","450,434,151"
"CSIS",25,2,"Dépenses en capital","Capital expenditures","31,610,000","29,902,873",0,0,"31,610,000","29,902,873",0,0,0,0
"CSIS","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","2,308","2,308",0,0,"2,308","2,308",0,0,"3,326","3,326"
"CSIS","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","651,824","438,199","529,542","257,619","651,824","438,199","529,542","257,619","640,265","320,431"
"CSIS","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","43,323,489","43,323,489","48,450,953","48,450,953","43,323,489","43,323,489","48,450,953","48,450,953","45,663,041","45,663,041"
"CSA","25",1,"Dépenses de fonctionnement","Operating expenditures","263,367,726","243,787,613","253,795,707","247,901,692","263,367,726","243,787,613","253,795,707","247,901,692","176,416,453","168,611,889"
"CSA","30",2,"Dépenses en capital","Capital expenditures","83,894,001","76,708,260","118,662,700","102,802,846","83,894,001","76,708,260","118,662,700","102,802,846","162,227,680","110,576,477"
"CSA","35",3,"Subventions et contributions","Grants and contributions","47,634,107","41,405,845","58,159,001","47,041,048","47,634,107","41,405,845","58,159,001","47,041,048","37,599,169","30,669,125"
"CSA","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","22,165","13,193","40,365","29,817","22,165","13,193","40,365","29,817","24,497","20,875"
"CSA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","10,920,898","10,920,898","11,360,112","11,360,112","10,920,898","10,920,898","11,360,112","11,360,112","10,367,049","10,367,049"
"TOUR","40",5,"Paiements à la Commission canadienne du tourisme","Payments to the Canadian Tourism Commission","109,464,753","108,564,688","82,033,976","82,033,975","109,464,753","108,564,688","82,033,976","82,033,975","72,032,802","71,495,802"
"CTAIB","10",1,"Dépenses du programme","Program expenditures","28,430,362","27,147,548","29,582,943","28,230,467","28,430,362","27,147,548","29,582,943","28,230,467","29,481,754","28,046,242"
"CTAIB","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","46,425","9,646","57,351","42,009","46,425","9,646","57,351","42,009","53,900","25,820"
"CTAIB","(S)",999,"Dépenses aux termes de l'alinéa 29.1(1) de la Loi sur la gestion des finances publiques","Expenditures pursuant to paragraph 29.1(1) of the Financial Administration Act","28,569","28,569","35,700","35,700","28,569","28,569","35,700","35,700","37,357","37,357"
"CTAIB","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","3,511,810","3,511,810","3,485,605","3,485,605","3,511,810","3,511,810","3,485,605","3,485,605","3,546,858","3,546,858"
"CTA","25",1,"Dépenses du programme","Program expenditures","25,863,213","25,300,749","27,019,920","25,846,976","25,863,213","25,300,749","27,019,920","25,846,976","26,401,209","25,289,763"
"CTA","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","2,445","1,677",932,164,"2,445","1,677",932,164,223,223
"CTA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","3,487,195","3,487,195","3,460,547","3,460,547","3,487,195","3,487,195","3,460,547","3,460,547","3,410,858","3,410,858"
"CEO","15",1,"Dépenses du programme","Program expenditures","31,418,598","30,224,615","33,620,530","30,834,398","31,418,598","30,224,615","33,620,530","30,834,398","33,385,308","30,303,722"
"CEO","(S)",999,"Honoraires Agence de recouvrement","Collection Agency Fees","2,222","2,222",426,426,"2,222","2,222",426,426,0,0
"CEO","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","7,376","7,375","1,175","1,174","7,376","7,375","1,175","1,174","10,789","10,789"
"CEO","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","6,756,782","6,756,782","7,530,465","7,530,465","6,756,782","6,756,782","7,530,465","7,530,465","6,480,367","6,480,367"
"CEO","(S)",999,"Traitement du directeur général des élections","Salary of the Chief Electoral Officer","271,525","271,525","335,439","335,439","271,525","271,525","335,439","335,439","291,659","291,659"
"CEO","(S)",999,"Dépenses d'élections (Loi électorale du Canada et la Loi électorale des Territoires du Nord-Ouest)","Expenses of elections (Canada Elections Act and Northwest Territories Elections Act)","109,258,563","109,258,563","310,650,093","308,316,227","109,258,563","109,258,563","310,650,093","308,316,227","75,897,548","75,897,548"
"CEO","(S)",999,"Dépenses en vertu de la Loi sur révision des limites des circonscriptions électorales","Expenses under Electoral Boundaries Readjustment Act","496,555","496,555",0,"2,333,866","496,555","496,555",0,"2,333,866","6,596,108","6,596,108"
"CI","1",1,"Dépenses de fonctionnement","Operating expenditures","602,353,362","571,289,333","604,916,309","569,530,870","602,353,362","571,289,333","604,916,309","569,530,870","581,485,405","515,970,062"
"CI","5",3,"Subventions et contributions","Grants and contributions","976,736,895","953,050,395","966,286,199","948,590,233","976,736,895","953,050,395","966,286,199","948,590,233","961,603,537","933,201,547"
"CI","7",4,"Radier des Comptes du Canada 2 031 dettes dues à Sa Majesté du chef du Canada totalisant 442 013 $","To write-off from the Accounts of Canada 2,031 debts due to Her Majesty in right of Canada amounting to $ 442,013",0,0,"1,709,358","1,684,523",0,0,"1,709,358","1,684,523","442,013","439,586"
"CI","(S)",999,"Ministre de la Citoyenneté, de l'Immigration et du Multiculturalisme--Traitement et allocation pour automobile","Minister of Citizenship, Immigration and Multiculturalism--Salary and motor car allowance","77,638","77,638","77,536","77,536","77,638","77,638","77,536","77,536","77,516","77,516"
"CI","(S)",999,"Montants adjugés par une cour","Court awards","68,969","68,969","113,983","113,984","68,969","68,969","113,983","113,984","35,662","35,662"
"CI","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years","8,560,597","8,560,597","5,504,249","5,504,249","8,560,597","8,560,597","5,504,249","5,504,249","9,768,127","9,768,127"
"CI","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","16,411","5,370","35,336","20,785","16,411","5,370","35,336","20,785","42,146","3,128"
"CI","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","57,015,940","57,015,940","57,968,568","57,968,568","57,015,940","57,015,940","57,968,568","57,968,568","58,119,990","58,119,990"
"CI","(S)",999,"Remboursement de frais à l'égard de demande terminée","Fees returned in connection with a terminated application",0,0,0,0,0,0,0,0,"5,709,850","5,709,850"
"FJA","20",1,"Dépenses de fonctionnement","Operating expenditures","8,599,759","7,905,708","9,346,666","8,713,683","8,599,759","7,905,708","9,346,666","8,713,683","8,942,753","8,523,525"
"FJA","25",1,"Conseil canadien de la magistrature-Dépenses de fonctionnement","Canadian Judicial Council-Operating expenditures","1,703,166","1,584,244","1,754,600","1,722,471","1,703,166","1,584,244","1,754,600","1,722,471","1,589,923","1,463,552"
"FJA","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown Assets",452,0,452,0,452,0,452,0,0,0
"FJA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","927,226","927,226","944,262","944,262","927,226","927,226","944,262","944,262","898,303","898,303"
"FJA","(S)",999,"Traitements, indemnités et pensions des juges, pensions aux conjoints et aux enfants des juges et montants forfaitaires versés aux conjoints des juges qui décèdent pendant leur mandat","Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office","443,169,201","443,169,201","459,802,737","459,802,737","443,169,201","443,169,201","459,802,737","459,802,737","474,217,220","474,217,220"
"CSEC","20",1,"Dépenses du programme","Program expenditures",0,0,"272,156,314","239,420,258",0,0,"272,156,314","239,420,258","408,766,775","382,112,733"
"CSEC","(S)",999,"Pertes d'opérations de change","Losses on foreign exchange",0,0,0,0,0,0,0,0,"90,693","90,693"
"CSEC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'état","Spending of proceeds from the disposal of surplus Crown assets",0,0,"5,860",0,0,0,"5,860",0,"27,119",0
"CSEC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans",0,0,"12,436,322","12,436,322",0,0,"12,436,322","12,436,322","32,291,131","32,291,131"
"CB","45",1,"Dépenses du programme","Program expenditures","2,976,601","2,306,856","2,815,245","2,291,651","2,976,601","2,306,856","2,815,245","2,291,651","2,956,007","2,265,653"
"CB","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",414,0,0,0,414,0,0,0,0,0
"CB","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","259,086","259,086","249,622","249,623","259,086","259,086","249,622","249,623","243,332","243,332"
"CSC","25",1,"Dépenses de fonctionnement","Operating expenditures","1,985,891,953","1,931,774,588","2,372,541,738","2,075,159,200","1,985,891,953","1,931,774,588","2,372,541,738","2,075,159,200","2,415,408,296","1,968,711,838"
"CSC","30",2,"Dépenses en capital","Capital expenditures","337,310,720","222,848,605","567,551,977","345,327,345","337,310,720","222,848,605","567,551,977","345,327,345","547,553,914","437,736,337"
"CSC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","1,991,990","735,535","2,649,098","1,332,226","1,991,990","735,535","2,649,098","1,332,226","2,588,791","1,140,257"
"CSC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","224,444,724","224,444,724","236,931,070","236,931,070","224,444,724","224,444,724","236,931,070","236,931,070","234,153,300","234,153,300"
"CSC","(S)",999,"Fonds renouvelable CORCAN","CORCAN Revolving Fund","10,050,435","-4,794,244","14,844,679","8,104,266","10,050,435","-4,794,244","14,844,679","8,104,266","6,740,414","1,257,479"
"CAS","30",1,"Dépenses du programme","Program expenditures","58,033,535","56,779,055","71,518,518","66,072,269","58,033,535","56,779,055","71,518,518","66,072,269","64,244,467","58,571,802"
"CAS","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of amounts credited to revenues in previous years",31,31,31,31,31,31,31,31,"4,450","4,450"
"CAS","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","9,018","4,944","12,009","4,074","9,018","4,944","12,009","4,074","11,734","7,935"
"CAS","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","6,859,602","6,859,602","7,146,038","7,146,039","6,859,602","6,859,602","7,146,038","7,146,039","7,000,020","7,000,020"
"FORDQ","1",1,"Dépenses de fonctionnement","Operating expenditures","52,596,412","49,840,987","50,757,015","47,559,292","52,596,412","49,840,987","50,757,015","47,559,292","47,187,950","43,194,294"
"FORDQ","5",3,"Subventions et contributions","Grants and contributions","472,602,185","418,066,046","266,923,537","252,575,814","472,602,185","418,066,046","266,923,537","252,575,814","261,637,542","247,508,999"
"FORDQ","(S)",999,"Ministre d'État - Allocation pour automobile","Minister of State—Motor car allowance","2,122","2,122",354,354,"2,122","2,122",354,354,0,0
"FORDQ","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","31,633",0,"18,082",0,"31,633",0,"18,082",0,"28,051",0
"FORDQ","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","6,010,189","6,010,189","5,785,435","5,785,435","6,010,189","6,010,189","5,785,435","5,785,435","5,726,053","5,726,053"
"FORDQ","(S)",999,"Fonds d'adaptation des collectivités","Community Adjustment Fund","6,086,716","6,086,716",0,0,"6,086,716","6,086,716",0,0,0,0
"ECBC","10",5,"Paiements à la Société d'expansion du Cap-Breton","Payments to the Enterprise Cape Breton Corporation","83,070,000","83,070,000","80,123,000","77,191,000","83,070,000","83,070,000","80,123,000","77,191,000","60,667,000","60,667,000"
"EC","1",1,"Dépenses de fonctionnement","Operating expenditures","831,969,653","807,166,670","821,643,348","763,861,638","831,969,653","807,166,670","821,643,348","763,861,638","768,509,474","725,061,714"
"EC","5",2,"Dépenses en capital","Capital expenditures","57,175,740","47,460,313","56,549,748","45,932,023","57,175,740","47,460,313","56,549,748","45,932,023","60,794,612","46,622,606"
"EC","10",3,"Subventions et contributions","Grants and contributions","162,249,707","115,473,872","93,927,936","72,471,998","162,249,707","115,473,872","93,927,936","72,471,998","171,638,255","103,654,358"
"EC","(S)",999,"Ministre de l'Environnement--Traitement et allocation pour automobile","Minister of the Environment--Salary and motor car allowance","64,935","64,935","77,536","77,536","64,935","64,935","77,536","77,536","77,516","77,516"
"EC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","2,215,106","713,449","2,250,908","1,612,320","2,215,106","713,449","2,250,908","1,612,320","2,217,868","716,680"
"EC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","96,312,176","96,312,176","90,825,593","90,825,593","96,312,176","96,312,176","90,825,593","90,825,593","89,492,736","89,492,736"
"EC","(S)",999,"La société canadienne pour la conservation de la nature","Nature conservancy of Canada","21,700,000","21,700,000","33,695,148","33,695,148","21,700,000","21,700,000","33,695,148","33,695,148","24,029,852","24,029,852"
"EDC","(S)",999,"Versements à Exportation et développement Canada pour acquitter ses obligations encourues en vertu de l'article 23 de la Loi sur le développement des exportations (Compte du Canada) afin de faciliter et d'accroître les échanges commerciaux entre le Canada et les autres pays (L.C. (2001), ch.33)","Payments to Export Development Canada to discharge obligations incurred pursuant to Section 23 of the Export Development Act (Canada Account) for the purpose of facilitating and developing trade between Canada and other countries (S.C., 2001, c. 33)",0,0,"54,337,912","54,337,912",0,0,"54,337,912","54,337,912","231,192,530","231,192,530"
"FBCL","30",5,"Paiements à la Société des ponts fédéraux Limitée","Payments to the Federal Bridge Corporation Limited","55,639,000","417,103","64,699,000","13,994,307","55,639,000","417,103","64,699,000","13,994,307","26,224,693","18,185,400"
"FEDSO","50",1,"Dépenses de fonctionnement","Operating expenditures","37,665,924","29,588,996","31,304,196","27,504,687","37,665,924","29,588,996","31,304,196","27,504,687","27,824,934","26,645,913"
"FEDSO","55",3,"Subventions et contributions","Grants and Contributions","510,610,797","331,144,815","244,567,310","200,104,609","510,610,797","331,144,815","244,567,310","200,104,609","231,947,760","212,041,526"
"FEDSO","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",0,0,"2,875",0,0,0,"2,875",0,"3,193",0
"FEDSO","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plan","2,374,136","2,374,136","2,850,512","2,850,512","2,374,136","2,374,136","2,850,512","2,850,512","3,033,528","3,033,528"
"FEDSO","(S)",999,"Fonds d'adaptation des collectivités","Community Adjustment Fund","42,494,967","42,494,967",0,0,"42,494,967","42,494,967",0,0,0,0
"FIN","1",1,"Dépenses de fonctionnement","Operating expenditures","128,601,392","112,422,184","133,205,840","121,904,779","128,601,392","112,422,184","133,205,840","121,904,779","126,074,919","119,468,990"
"FIN","5",3,"Subventions et contributions","Grants and contributions","319,195,055","92,860,903","173,194,063","29,535,038","319,195,055","92,860,903","173,194,063","29,535,038","224,987,008","15,002,006"
"FIN","7",9,"Autorisation de verser des paiements, entre le 1 er  avril et le 31 mars 2013, conformément à la Loi sur les accords de Bretton Woods et des accords connexes, à la Banque internationale pour la reconstruction et le développement pour les garanties de marché en matière d'agriculture d'un montant ne devant pas excéder 10 000 000$","Authority to make payments from April 1, 2012 to March 31,2013 under the Bretton Woods and Related Agreements Act to the International Bank for Reconstruction and Development for the Agriculture Advance Market Commitment in an amount not to exceed $10,000,000",1,0,1,0,1,0,1,0,1,0
"FIN","(S)",999,"Ministre des Finances --Traitement et allocation pour automobile","Minister of Finance -- Salary and motor car allowance","78,151","78,151","77,537","77,537","78,151","78,151","77,537","77,537","77,516","77,516"
"FIN","(S)",999,"Ministre d'État --Allocation pour automobile","Minister of State--Motor car allowance",0,0,"2,020","2,020",0,0,"2,020","2,020","2,000","2,000"
"FIN","(S)",999,"Remboursements de montants portés aux revenus d'exercices antérieurs","Refunds of previous years revenue","1,340","1,340",0,0,"1,340","1,340",0,0,"356,926","356,926"
"FIN","(S)",999,"Pertes sur opérations de change","Losses on foreign exchange","192,244,123","192,244,123","18,173,873","18,173,873","192,244,123","192,244,123","18,173,873","18,173,873","66,504,775","66,504,775"
"FIN","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","1,043",0,0,0,"1,043",0,0,0,"4,748",0
"FIN","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","13,512,334","13,512,334","12,608,648","12,608,648","13,512,334","13,512,334","12,608,648","12,608,648","12,232,622","12,232,622"
"FIN","(S)",999,"Péréquation fiscale (Partie I -- Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)","Fiscal equalization (Part I -- Federal-Provincial Fiscal Arrangements Act)","14,881,503,000","14,881,503,000","14,658,570,000","14,658,570,000","14,881,503,000","14,881,503,000","14,658,570,000","14,658,570,000","15,422,503,000","15,422,503,000"
"FIN","(S)",999,"Subventions législatives (Lois constitutionnelles de 1867 à 1982, et autres autorisations législatives)","Statutory subsidies (Constitution Acts, 1867-1982, and other statutory authorities)","32,148,683","32,148,683","32,148,628","32,148,628","32,148,683","32,148,683","32,148,628","32,148,628","32,149,329","32,149,329"
"FIN","(S)",999,"Paiements de remplacement au titre des programmes permanents (Partie VI -- Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)","Alternative payments for standing programs (Part VI -- Federal-Provincial Fiscal Arrangements Act)","-3,072,554,000","-3,072,554,000","-3,219,731,000","-3,219,731,000","-3,072,554,000","-3,072,554,000","-3,219,731,000","-3,219,731,000","-3,357,025,000","-3,357,025,000"
"FIN","(S)",999,"Recouvrement ayant trait aux allocations aux jeunes (Loi de 1964 sur la révision des arrangements fiscaux entre le gouvernement fédéral et les provinces)","Youth allowances recovery (Federal-Provincial Fiscal Revision Act, 1964)","-678,205,296","-678,205,296","-709,591,452","-709,591,452","-678,205,296","-678,205,296","-709,591,452","-709,591,452","-736,513,992","-736,513,992"
"FIN","(S)",999,"Fondation canadienne des bourses d'études du millénaire (Loi d'exécution du budget 1998)","Canadian Millenium Scholarship Foundation (Budget Implementation Act, 1998)","-121,257,584","-121,257,584",0,0,"-121,257,584","-121,257,584",0,0,0,0
"FIN","(S)",999,"Transfert canadien en matière de santé (Partie V.1-- Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)","Canada health transfer (Part V.1-- Federal-Provincial Fiscal Arrangements Act)","25,621,107,286","25,621,107,286","26,941,815,102","26,941,815,102","25,621,107,286","25,621,107,286","26,941,815,102","26,941,815,102","28,568,644,223","28,568,644,223"
"FIN","(S)",999,"Transfert canadien en matière de programmes sociaux (Partie V.1-- Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)","Canada social transfer (Part V.1-- Federal-Provincial Fiscal Arrangements Act)","11,178,825,000","11,178,825,000","11,514,064,000","11,514,064,000","11,178,825,000","11,178,825,000","11,514,064,000","11,514,064,000","11,859,486,000","11,859,486,000"
"FIN","(S)",999,"Paiements à l'Association internationale de développement","Payments to International Development Association","384,280,000","384,280,000","384,280,000","384,280,000","384,280,000","384,280,000","384,280,000","384,280,000","441,620,000","441,620,000"
"FIN","(S)",999,"Subventions accordées à la facilité pour la réduction de la pauvreté et la croissance du Fonds monétaires international (Article 8 - Loi sur les accords de Bretton Woods et des accords connexes)","Subsidy Resources to the International Monetary Fund’s Poverty Reduction and Growth Trust (Section 8—Bretton Woods and Related Agreements Act)","40,000,000","40,000,000",0,0,"40,000,000","40,000,000",0,0,0,0
"FIN","(S)",999,"Paiements de dettes à des organisations internationales au nom des pays pauvres en vertu du paragraph 18(1) de la Loi sur la reprise économique","Debt payments on behalf of poor countries to international organizations pursuant to section 18(1) of the Economic Recovery Act","73,417,867","73,417,867","51,200,000","51,200,000","73,417,867","73,417,867","51,200,000","51,200,000","51,200,000","51,200,000"
"FIN","(S)",999,"Projet de financement des petites et moyennes entreprises (PME)","Small and Medium Enterprise (SME) Finance Challenge","20,000,000","20,000,000",0,0,"20,000,000","20,000,000",0,0,"-1,402,080","-1,402,080"
"FIN","(S)",999,"Paiement à l'Ontario pour le Transfert canadien en matière de santé (Partie V.1  Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)","Payment to Ontario related to the Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act)","160,395,000","160,395,000","-17,984,000","-17,984,000","160,395,000","160,395,000","-17,984,000","-17,984,000","93,710,000","93,710,000"
"FIN","(S)",999,"Financement accéléré pour la lutte contre les changements climatiques (Loi sur des accords de Bretton Woods et des accords connexes, article 8)","Fast start climate change financing (Bretton Woods and Related Agreements Act, Section 8)","5,830,000","5,830,000",0,0,"5,830,000","5,830,000",0,0,0,0
"FIN","(S)",999,"Banque internationale pour la reconstruction et le développement pour les garanties de marché en matière d'agriculture (Loi sur les accords de Bretton Woods et les accords connexes, section 8)","International Bank for reconstruction and development for the Agriculture Advance Market commitment (Bretton Woods and Related Agreements Act, section 8)","950,000","950,000","9,000,000","9,000,000","950,000","950,000","9,000,000","9,000,000","10,000,000","10,000,000"
"FIN","(S)",999,"Bureau de transition vers un régime canadien de réglementation des valeurs mobilières (Loi sur le Bureau de transition vers un régime canadien de réglementation des valeurs mobilières)","Canadian Securities Regulation Regime Transition Office (Canadian Securities Regulation Regime Transition Office Act)","13,255,000","13,255,000","14,345,000","14,345,000","13,255,000","13,255,000","14,345,000","14,345,000",0,0
"FIN","(S)",999,"Paiements conformément à la Loi sur la prise en charge des prestations de la Commission de secours d'Halifax","Payments pursuant to the Halifax Relief Commission Pension Continuation Act","1,832","1,832",0,0,"1,832","1,832",0,0,0,0
"FIN","(S)",999,"Financement des territoires (Partie I.1-- Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)","Territorial financing (Part I.1-- Federal-Provincial Fiscal Arrangements Act)","2,663,566,963","2,663,566,963","2,876,083,006","2,876,083,006","2,663,566,963","2,663,566,963","2,876,083,006","2,876,083,006","3,110,679,940","3,110,679,940"
"FIN","(S)",999,"Transfert visant la réduction des temps d'attente (Partie V.I -- Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)","Wait times reduction transfer (Part V.I -- Federal-Provincial Fiscal Arrangements Act)","250,000,000","250,000,000","250,000,000","250,000,000","250,000,000","250,000,000","250,000,000","250,000,000","250,000,000","250,000,000"
"FIN","(S)",999,"Paiement de transition - Terre-Neuve-et-Labrador (Loi sur les paiements de péréquation compensatoires supplémentaires à la Nouvelle-Écosse et à Terre-Neuve-et-Labrador)","Transitional payment to Newfoundland and Labrador (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act)",0,0,"536,121,000","536,121,000",0,0,"536,121,000","536,121,000",0,0
"FIN","(S)",999,"Paiement de péréquation supplémentaire Nouvelle-Écosse (Partie I  Loi sur les arrangements fiscaux  entre le gouvernement fédéral et les provinces","Additional fiscal equalization to Nova Scotia (Part I Federal-Provincial Fiscal Arrangements  Act)",0,0,"82,678,000","82,678,000",0,0,"82,678,000","82,678,000","297,317,000","297,317,000"
"FIN","(S)",999,"Paiement de péréquation compensatoire supplémentaire Nouvelle-Écosse (Partie  Loi sur  les paiements de péréquation compensatoires  supplémentaires à la Nouvelle-Écosse et à  Terre-Neuve-et-Labrador)","Additional fiscal equalization offset payment to Nova Scotia  (Nova Scotia and  Newfoundland and Labrador Additional  Fiscal Equalization Offshore Payments  Act)",0,0,"33,695,000","33,695,000",0,0,"33,695,000","33,695,000","146,059,000","146,059,000"
"FIN","(S)",999,"Paiement aux provinces relatifs à l'harmonisation des taxes de vente (partie III.I -- Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)","Payments to provinces regarding sales tax harmonization (Part III,I -Federal-Provincial Fiscal Arrangements Act)","3,769,000,000","3,769,000,000","1,560,200,000","1,560,200,000","3,769,000,000","3,769,000,000","1,560,200,000","1,560,200,000","438,200,000","438,200,000"
"FIN","(S)",999,"Incitatif pour l'élimination des impôts provinciaux sur le capital (Partie IV   Loi sur les arrangements fiscaux  entre le gouvernement fédéral et les provinces )","Incentive for provinces to eliminate taxes on capital (Part IV   Federal-Provincial Fiscal   Arrangements Act )","160,924,000","160,924,000","845,100","845,100","160,924,000","160,924,000","845,100","845,100","5,486,000","5,486,000"
"FIN","(S)",999,"Paiement de péréquation additionnel-Protection sur les transferts totaux (PartieI-- Loi sur les arrangements fiscaux entre le gouvernement fédéral et les provinces)","Additional fiscal equalization payment— Total transfer protection (Part I—Federal-Provincial Fiscal Arrangements Act)",0,0,"952,107,000","952,107,000",0,0,"952,107,000","952,107,000",0,0
"FIN","(S)",999,"Paiement de péréquation additionnel  Protection sur les transferts totaux (Partie I   Loi sur les  arrangements fiscaux entre le gouvernement fédéral  et les provinces)","Additional fiscal equalization payment  Total transfer protection (Part I   Federal-Provincial Fiscal Arrangements  Act",0,0,0,0,0,0,0,0,"679,660,000","679,660,000"
"FIN","(S)",999,"Intérêt sur la dette non échue","Interest on unmatured debt","27,863,847,695","27,863,847,695","27,881,332,474","27,881,332,474","27,863,847,695","27,863,847,695","27,881,332,474","27,881,332,474","16,932,094,462","16,932,094,462"
"FIN","(S)",999,"Autres frais d'intérêts","Other Interest Costs",0,0,0,0,0,0,0,0,"9,050,112,469","9,050,112,469"
"FIN","(S)",999,"Achat de la monnaie canadienne","Purchase of domestic coinage","101,667,640","101,667,640","114,368,880","114,368,881","101,667,640","101,667,640","114,368,880","114,368,881","130,816,640","130,816,640"
"FIN","(S)",999,"Paiement de dettes comptabilisées antérieurement à titre de revenus","Payment of liabilities previously recorded as revenue","2,146,952","2,146,952","14,081,367","14,081,367","2,146,952","2,146,952","14,081,367","14,081,367","2,159,620","2,159,620"
"FIN","(S)",999,"Paiements aux déposants de la Banque Commerciale du Canada, de la Compagnie de placements hypothécaires CCB et de la Norbanque conformément à la Loi sur l'indemnité aux déposants de certaines institutions financières","Payments to depositors of Canadian Commercial Bank, CCB Mortgage Investment Corporation and Northland Bank pursuant to the Financial Institutions Depositors Compensation Act","68,571,831",0,"68,571,831",0,"68,571,831",0,"68,571,831",0,"68,571,831",0
"FCAC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","1,101","1,101",37,37,"1,101","1,101",37,37,0,0
"FCAC","(S)",999,"Paiements en vertu de l'article 13 de la Loi sur l'Agence de la consommation en matière financière du Canada","Payments under section 13 of the Financial Consumer Agency of Canada Act","11,628,199","11,628,199","12,281,961","12,281,961","11,628,199","11,628,199","12,281,961","12,281,961","12,890,555","12,890,555"
"FTRAC","30",1,"Dépenses du programme","Program expenditures","51,612,532","46,305,004","55,882,122","53,165,951","51,612,532","46,305,004","55,882,122","53,165,951","51,072,583","48,879,599"
